Data supplied by AEA on 20/1/2016
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Leeds Headingley Kerbside,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"PM<sub>10</sub> particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"Non-volatile PM<sub>10</sub> (Hourly measured)",status,unit,"Non-volatile PM<sub>2.5</sub> (Hourly measured)",status,unit,"PM<sub>2.5</sub> particulate matter (Hourly measured)",status,unit,"Volatile PM<sub>10</sub> (Hourly measured)",status,unit,"Volatile PM<sub>2.5</sub> (Hourly measured)",status,unit
 
01-01-2015,01:00,22.100,R,ugm-3 (TEOM FDMS),5.55589,R,ugm-3,10.64498,R,ugm-3,19.16389,R,ugm-3,17.200,R,ugm-3 (TEOM FDMS),,,,,,,4.900,R,ugm-3 (TEOM FDMS),,,
01-01-2015,02:00,13.600,R,ugm-3 (TEOM FDMS),2.95652,R,ugm-3,7.16933,R,ugm-3,11.70259,R,ugm-3,8.700,R,ugm-3 (TEOM FDMS),,,,,,,4.900,R,ugm-3 (TEOM FDMS),,,
01-01-2015,03:00,8.500,R,ugm-3 (TEOM FDMS),2.56164,R,ugm-3,7.67678,R,ugm-3,11.60457,R,ugm-3,6.100,R,ugm-3 (TEOM FDMS),,,,,,,2.400,R,ugm-3 (TEOM FDMS),,,
01-01-2015,04:00,6.400,R,ugm-3 (TEOM FDMS),2.79115,R,ugm-3,6.91225,R,ugm-3,11.19195,R,ugm-3,6.000,R,ugm-3 (TEOM FDMS),5.200,R,ugm-3 (TEOM FDMS),8.500,R,ugm-3 (TEOM FDMS),0.400,R,ugm-3 (TEOM FDMS),3.300,R,ugm-3 (TEOM FDMS)
01-01-2015,05:00,4.600,R,ugm-3 (TEOM FDMS),3.55512,R,ugm-3,8.09705,R,ugm-3,13.54815,R,ugm-3,3.100,R,ugm-3 (TEOM FDMS),4.900,R,ugm-3 (TEOM FDMS),6.600,R,ugm-3 (TEOM FDMS),1.500,R,ugm-3 (TEOM FDMS),1.700,R,ugm-3 (TEOM FDMS)
01-01-2015,06:00,6.400,R,ugm-3 (TEOM FDMS),1.72034,R,ugm-3,6.61008,R,ugm-3,9.24789,R,ugm-3,2.000,R,ugm-3 (TEOM FDMS),2.200,R,ugm-3 (TEOM FDMS),3.900,R,ugm-3 (TEOM FDMS),4.400,R,ugm-3 (TEOM FDMS),1.700,R,ugm-3 (TEOM FDMS)
01-01-2015,07:00,3.100,R,ugm-3 (TEOM FDMS),1.26164,R,ugm-3,5.07530,R,ugm-3,7.00979,R,ugm-3,1.800,R,ugm-3 (TEOM FDMS),2.500,R,ugm-3 (TEOM FDMS),5.100,R,ugm-3 (TEOM FDMS),1.300,R,ugm-3 (TEOM FDMS),2.600,R,ugm-3 (TEOM FDMS)
01-01-2015,08:00,3.000,R,ugm-3 (TEOM FDMS),1.26133,R,ugm-3,7.19626,R,ugm-3,9.13028,R,ugm-3,2.900,R,ugm-3 (TEOM FDMS),2.600,R,ugm-3 (TEOM FDMS),5.600,R,ugm-3 (TEOM FDMS),0.100,R,ugm-3 (TEOM FDMS),3.000,R,ugm-3 (TEOM FDMS)
01-01-2015,09:00,4.300,R,ugm-3 (TEOM FDMS),1.49115,R,ugm-3,7.19722,R,ugm-3,9.48361,R,ugm-3,0.400,R,ugm-3 (TEOM FDMS),2.700,R,ugm-3 (TEOM FDMS),5.700,R,ugm-3 (TEOM FDMS),3.900,R,ugm-3 (TEOM FDMS),3.000,R,ugm-3 (TEOM FDMS)
01-01-2015,10:00,-0.200,R,ugm-3 (TEOM FDMS),1.60559,R,ugm-3,6.37388,R,ugm-3,8.83575,R,ugm-3,-2.000,R,ugm-3 (TEOM FDMS),1.100,R,ugm-3 (TEOM FDMS),1.700,R,ugm-3 (TEOM FDMS),1.800,R,ugm-3 (TEOM FDMS),0.600,R,ugm-3 (TEOM FDMS)
