Data supplied by AEA on 8/11/2015
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Leeds Headingley Kerbside,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"PM<sub>10</sub> particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"Non-volatile PM<sub>10</sub> (Hourly measured)",status,unit,"Non-volatile PM<sub>2.5</sub> (Hourly measured)",status,unit,"PM<sub>2.5</sub> particulate matter (Hourly measured)",status,unit,"Volatile PM<sub>10</sub> (Hourly measured)",status,unit,"Volatile PM<sub>2.5</sub> (Hourly measured)",status,unit
 
01-01-2013,01:00,20.200,R,ugm-3 (TEOM FDMS),25.49980,R,ugm-3,32.08984,R,ugm-3,71.18899,R,ugm-3,19.200,R,ugm-3 (TEOM FDMS),,,,,,,1.000,R,ugm-3 (TEOM FDMS),,,
01-01-2013,02:00,14.300,R,ugm-3 (TEOM FDMS),21.93315,R,ugm-3,,,,,,,15.400,R,ugm-3 (TEOM FDMS),,,,,,,-1.100,R,ugm-3 (TEOM FDMS),,,
01-01-2013,03:00,14.500,R,ugm-3 (TEOM FDMS),18.09396,R,ugm-3,32.11135,R,ugm-3,59.85503,R,ugm-3,11.700,R,ugm-3 (TEOM FDMS),,,,,,,2.800,R,ugm-3 (TEOM FDMS),,,
01-01-2013,04:00,15.300,R,ugm-3 (TEOM FDMS),14.39696,R,ugm-3,26.21081,R,ugm-3,48.28584,R,ugm-3,11.500,R,ugm-3 (TEOM FDMS),6.100,R,ugm-3 (TEOM FDMS),6.700,R,ugm-3 (TEOM FDMS),3.800,R,ugm-3 (TEOM FDMS),0.600,R,ugm-3 (TEOM FDMS)
01-01-2013,05:00,12.600,R,ugm-3 (TEOM FDMS),6.54084,R,ugm-3,12.13099,R,ugm-3,22.16014,R,ugm-3,11.300,R,ugm-3 (TEOM FDMS),3.800,R,ugm-3 (TEOM FDMS),6.000,R,ugm-3 (TEOM FDMS),1.300,R,ugm-3 (TEOM FDMS),2.200,R,ugm-3 (TEOM FDMS)
01-01-2013,06:00,10.600,R,ugm-3 (TEOM FDMS),6.11427,R,ugm-3,12.51397,R,ugm-3,21.88904,R,ugm-3,12.800,R,ugm-3 (TEOM FDMS),5.400,R,ugm-3 (TEOM FDMS),6.300,R,ugm-3 (TEOM FDMS),-2.200,R,ugm-3 (TEOM FDMS),0.900,R,ugm-3 (TEOM FDMS)
01-01-2013,07:00,6.100,R,ugm-3 (TEOM FDMS),3.09268,R,ugm-3,8.02198,R,ugm-3,12.76403,R,ugm-3,5.500,R,ugm-3 (TEOM FDMS),4.500,R,ugm-3 (TEOM FDMS),7.100,R,ugm-3 (TEOM FDMS),0.600,R,ugm-3 (TEOM FDMS),2.600,R,ugm-3 (TEOM FDMS)
01-01-2013,08:00,9.400,R,ugm-3 (TEOM FDMS),2.66610,R,ugm-3,7.53525,R,ugm-3,11.62322,R,ugm-3,11.000,R,ugm-3 (TEOM FDMS),5.200,R,ugm-3 (TEOM FDMS),4.500,R,ugm-3 (TEOM FDMS),-1.600,R,ugm-3 (TEOM FDMS),-0.700,R,ugm-3 (TEOM FDMS)
01-01-2013,09:00,15.400,R,ugm-3 (TEOM FDMS),4.40796,R,ugm-3,9.20964,R,ugm-3,15.96842,R,ugm-3,14.100,R,ugm-3 (TEOM FDMS),5.100,R,ugm-3 (TEOM FDMS),3.100,R,ugm-3 (TEOM FDMS),1.300,R,ugm-3 (TEOM FDMS),-2.000,R,ugm-3 (TEOM FDMS)
01-01-2013,10:00,9.200,R,ugm-3 (TEOM FDMS),2.45282,R,ugm-3,6.99306,R,ugm-3,10.75399,R,ugm-3,12.700,R,ugm-3 (TEOM FDMS),5.900,R,ugm-3 (TEOM FDMS),3.700,R,ugm-3 (TEOM FDMS),-3.500,R,ugm-3 (TEOM FDMS),-2.200,R,ugm-3 (TEOM FDMS)
01-01-2013,11:00,16.000,R,ugm-3 (TEOM FDMS),2.95049,R,ugm-3,5.95839,R,ugm-3,10.48241,R,ugm-3,18.800,R,ugm-3 (TEOM FDMS),6.700,R,ugm-3 (TEOM FDMS),6.800,R,ugm-3 (TEOM FDMS),-2.800,R,ugm-3 (TEOM FDMS),0.100,R,ugm-3 (TEOM FDMS)
01-01-2013,12:00,14.900,R,ugm-3 (TEOM FDMS),3.76809,R,ugm-3,7.31197,R,ugm-3,13.08963,R,ugm-3,11.400,R,ugm-3 (TEOM FDMS),7.800,R,ugm-3 (TEOM FDMS),8.600,R,ugm-3 (TEOM FDMS),3.500,R,ugm-3 (TEOM FDMS),0.800,R,ugm-3 (TEOM FDMS)
01-01-2013,13:00,14.100,R,ugm-3 (TEOM FDMS),5.86543,R,ugm-3,8.60434,R,ugm-3,17.59787,R,ugm-3,16.300,R,ugm-3 (TEOM FDMS),5.900,R,ugm-3 (TEOM FDMS),6.100,R,ugm-3 (TEOM FDMS),-2.200,R,ugm-3 (TEOM FDMS),0.200,R,ugm-3 (TEOM FDMS)
01-01-2013,14:00,19.500,R,ugm-3 (TEOM FDMS),6.68303,R,ugm-3,12.34806,R,ugm-3,22.59523,R,ugm-3,16.300,R,ugm-3 (TEOM FDMS),8.100,R,ugm-3 (TEOM FDMS),8.000,R,ugm-3 (TEOM FDMS),3.200,R,ugm-3 (TEOM FDMS),-0.100,R,ugm-3 (TEOM FDMS)
01-01-2013,15:00,16.000,R,ugm-3 (TEOM FDMS),5.79433,R,ugm-3,11.64617,R,ugm-3,20.53069,R,ugm-3,19.100,R,ugm-3 (TEOM FDMS),6.500,R,ugm-3 (TEOM FDMS),8.900,R,ugm-3 (TEOM FDMS),-3.100,R,ugm-3 (TEOM FDMS),2.400,R,ugm-3 (TEOM FDMS)
01-01-2013,16:00,15.400,R,ugm-3 (TEOM FDMS),6.68303,R,ugm-3,12.02198,R,ugm-3,22.26915,R,ugm-3,12.500,R,ugm-3 (TEOM FDMS),7.300,R,ugm-3 (TEOM FDMS),4.800,R,ugm-3 (TEOM FDMS),2.900,R,ugm-3 (TEOM FDMS),-2.500,R,ugm-3 (TEOM FDMS)
