Daily Mean data          supplied by UK-air on 22/1/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 All Data are GMT hour ending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Status: V=verified N=Not Verified S=Suspect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leeds Headingley Kerbside,,,,,,,,,,,,,,,,,,Leeds Centre,,,,,,,,,,,,,,,,,,,,,,,
Date,PM10 particulate matter (Hourly measured),status/unit,Nitric oxide,status/unit,Nitrogen dioxide,status/unit,Nitrogen oxides as nitrogen dioxide,status/unit,Non-volatile PM10 (Hourly measured),status/unit,Non-volatile PM2.5 (Hourly measured),status/unit,PM2.5 particulate matter (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM2.5 (Hourly measured),status/unit,Carbon monoxide,status/unit,PM10 particulate matter (Hourly measured),status/unit,Nitric oxide,status/unit,Nitrogen dioxide,status/unit,Nitrogen oxides as nitrogen dioxide,status/unit,Non-volatile PM10 (Hourly measured),status/unit,Non-volatile PM2.5 (Hourly measured),status/unit,Ozone,status/unit,PM2.5 particulate matter (Hourly measured),status/unit,Sulphur dioxide,status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM2.5 (Hourly measured),status/unit
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/12/10,15,V ugm-3 (TEOM FDMS),88,V ugm-3,68,V ugm-3,202,V ugm-3,14,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),11,V ugm-3 (TEOM FDMS),1,V ugm-3 (TEOM FDMS),2,V ugm-3 (TEOM FDMS),0.66,V mgm-3,11,V ugm-3 (TEOM FDMS),21,V ugm-3,45,V ugm-3,77,V ugm-3,10,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),37,V ugm-3,8,V ugm-3 (TEOM FDMS),3,V ugm-3,1,V ugm-3 (TEOM FDMS),2,V ugm-3 (TEOM FDMS)
09/12/10,15,V ugm-3 (TEOM FDMS),47,V ugm-3,50,V ugm-3,121,V ugm-3,13,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),2,V ugm-3 (TEOM FDMS),2,V ugm-3 (TEOM FDMS),0.56,V mgm-3,14,V ugm-3 (TEOM FDMS),17,V ugm-3,38,V ugm-3,65,V ugm-3,12,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),33,V ugm-3,11,V ugm-3 (TEOM FDMS),2,V ugm-3,2,V ugm-3 (TEOM FDMS),2,V ugm-3 (TEOM FDMS)
10/12/10,12,V ugm-3 (TEOM FDMS),42,V ugm-3,46,V ugm-3,111,V ugm-3,9,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),11,V ugm-3 (TEOM FDMS),2,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS),0.65,V mgm-3,12,V ugm-3 (TEOM FDMS),17,V ugm-3,41,V ugm-3,66,V ugm-3,9,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),38,V ugm-3,10,V ugm-3 (TEOM FDMS),1,V ugm-3,4,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS)
11/12/10,17,V ugm-3 (TEOM FDMS),46,V ugm-3,50,V ugm-3,120,V ugm-3,14,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS),14,V ugm-3 (TEOM FDMS),2,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS),0.61,V mgm-3,15,V ugm-3 (TEOM FDMS),15,V ugm-3,37,V ugm-3,60,V ugm-3,12,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),36,V ugm-3,10,V ugm-3 (TEOM FDMS),2,V ugm-3,3,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS)
12/12/10,20,V ugm-3 (TEOM FDMS),58,V ugm-3,58,V ugm-3,147,V ugm-3,20,V ugm-3 (TEOM FDMS),13,V ugm-3 (TEOM FDMS),16,V ugm-3 (TEOM FDMS),0,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS),0.62,V mgm-3,17,V ugm-3 (TEOM FDMS),9,V ugm-3,28,V ugm-3,40,V ugm-3,15,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),37,V ugm-3,11,V ugm-3 (TEOM FDMS),2,V ugm-3,2,V ugm-3 (TEOM FDMS),2,V ugm-3 (TEOM FDMS)
13/12/10,16,V ugm-3 (TEOM FDMS),96,V ugm-3,72,V ugm-3,218,V ugm-3,14,V ugm-3 (TEOM FDMS),11,V ugm-3 (TEOM FDMS),13,V ugm-3 (TEOM FDMS),2,V ugm-3 (TEOM FDMS),2,V ugm-3 (TEOM FDMS),0.57,V mgm-3,14,V ugm-3 (TEOM FDMS),25,V ugm-3,45,V ugm-3,83,V ugm-3,11,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),22,V ugm-3,11,V ugm-3 (TEOM FDMS),3,V ugm-3,3,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS)
14/12/10,22,V ugm-3 (TEOM FDMS),112,V ugm-3,75,V ugm-3,246,V ugm-3,19,V ugm-3 (TEOM FDMS),15,V ugm-3 (TEOM FDMS),19,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS),0.52,V mgm-3,17,V ugm-3 (TEOM FDMS),20,V ugm-3,43,V ugm-3,73,V ugm-3,14,V ugm-3 (TEOM FDMS),11,V ugm-3 (TEOM FDMS),22,V ugm-3,15,V ugm-3 (TEOM FDMS),3,V ugm-3,3,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS)
15/12/10,28,V ugm-3 (TEOM FDMS),84,V ugm-3,74,V ugm-3,202,V ugm-3,24,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),13,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS),0.57,V mgm-3,12,V ugm-3 (TEOM FDMS),17,V ugm-3,39,V ugm-3,65,V ugm-3,8,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),32,V ugm-3,10,V ugm-3 (TEOM FDMS),0,V ugm-3,4,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS)
16/12/10,19,V ugm-3 (TEOM FDMS),46,V ugm-3,38,V ugm-3,108,V ugm-3,15,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS),0.65,V mgm-3,9,V ugm-3 (TEOM FDMS),12,V ugm-3,30,V ugm-3,49,V ugm-3,5,V ugm-3 (TEOM FDMS),2,V ugm-3 (TEOM FDMS),44,V ugm-3,6,V ugm-3 (TEOM FDMS),3,V ugm-3,4,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS)
17/12/10,34,V ugm-3 (TEOM FDMS),77,V ugm-3,65,V ugm-3,183,V ugm-3,32,V ugm-3 (TEOM FDMS),11,V ugm-3 (TEOM FDMS),14,V ugm-3 (TEOM FDMS),2,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS),0.97,V mgm-3,18,V ugm-3 (TEOM FDMS),35,V ugm-3,53,V ugm-3,106,V ugm-3,15,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),23,V ugm-3,11,V ugm-3 (TEOM FDMS),2,V ugm-3,3,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS)
18/12/10,31,V ugm-3 (TEOM FDMS),93,V ugm-3,79,V ugm-3,222,V ugm-3,27,V ugm-3 (TEOM FDMS),21,V ugm-3 (TEOM FDMS),26,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),1,V mgm-3,24,V ugm-3 (TEOM FDMS),35,V ugm-3,60,V ugm-3,113,V ugm-3,19,V ugm-3 (TEOM FDMS),18,V ugm-3 (TEOM FDMS),8,V ugm-3,23,V ugm-3 (TEOM FDMS),6,V ugm-3,4,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS)
19/12/10,27,V ugm-3 (TEOM FDMS),68,V ugm-3,72,V ugm-3,176,V ugm-3,23,V ugm-3 (TEOM FDMS),20,V ugm-3 (TEOM FDMS),26,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),0.5,V mgm-3,, ,26,V ugm-3,55,V ugm-3,94,V ugm-3,, ,18,V ugm-3 (TEOM FDMS),14,V ugm-3,23,V ugm-3 (TEOM FDMS),2,V ugm-3,, ,5,V ugm-3 (TEOM FDMS)
20/12/10,56,V ugm-3 (TEOM FDMS),201,V ugm-3,100,V ugm-3,407,V ugm-3,47,V ugm-3 (TEOM FDMS),41,V ugm-3 (TEOM FDMS),52,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS),1.2,V mgm-3,, ,145,V ugm-3,87,V ugm-3,308,V ugm-3,, ,38,V ugm-3 (TEOM FDMS),3,V ugm-3,49,V ugm-3 (TEOM FDMS),5,V ugm-3,, ,10,V ugm-3 (TEOM FDMS)
21/12/10,62,V ugm-3 (TEOM FDMS),233,V ugm-3,108,V ugm-3,463,V ugm-3,52,V ugm-3 (TEOM FDMS),46,V ugm-3 (TEOM FDMS),57,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS),11,V ugm-3 (TEOM FDMS),1.2,V mgm-3,54,V ugm-3 (TEOM FDMS),151,V ugm-3,89,V ugm-3,319,V ugm-3,45,V ugm-3 (TEOM FDMS),40,V ugm-3 (TEOM FDMS),6,V ugm-3,50,V ugm-3 (TEOM FDMS),8,V ugm-3,9,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS)
