LSOA code (2011),LSOA name (2011),Local Authority District code (2013),Local Authority District name (2013),Index of Multiple Deprivation (IMD) Score,Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived),Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOAs),Income Score (rate),Income Rank (where 1 is most deprived),Income Decile (where 1 is most deprived 10% of LSOAs),Employment Score (rate),Employment Rank (where 1 is most deprived),Employment Decile (where 1 is most deprived 10% of LSOAs),"Education, Skills and Training Score","Education, Skills and Training Rank (where 1 is most deprived)","Education, Skills and Training Decile (where 1 is most deprived 10% of LSOAs)",Health Deprivation and Disability Score,Health Deprivation and Disability Rank (where 1 is most deprived),Health Deprivation and Disability Decile (where 1 is most deprived 10% of LSOAs),Crime Score,Crime Rank (where 1 is most deprived),Crime Decile (where 1 is most deprived 10% of LSOAs),Barriers to Housing and Services Score,Barriers to Housing and Services Rank (where 1 is most deprived),Barriers to Housing and Services Decile (where 1 is most deprived 10% of LSOAs),Living Environment Score,Living Environment Rank (where 1 is most deprived),Living Environment Decile (where 1 is most deprived 10% of LSOAs),Income Deprivation Affecting Children Index (IDACI) Score (rate),Income Deprivation Affecting Children Index (IDACI) Rank (where 1 is most deprived),Income Deprivation Affecting Children Index (IDACI) Decile (where 1 is most deprived 10% of LSOAs),Income Deprivation Affecting Older People (IDAOPI) Score (rate),Income Deprivation Affecting Older People (IDAOPI) Rank (where 1 is most deprived),Income Deprivation Affecting Older People (IDAOPI) Decile (where 1 is most deprived 10% of LSOAs),Children and Young People Sub-domain Score,Children and Young People Sub-domain Rank (where 1 is most deprived),Children and Young People Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Adult Skills Sub-domain Score,Adult Skills Sub-domain Rank (where 1 is most deprived),Adult Skills Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Geographical Barriers Sub-domain Score,Geographical Barriers Sub-domain Rank (where 1 is most deprived),Geographical Barriers Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Wider Barriers Sub-domain Score,Wider Barriers Sub-domain Rank (where 1 is most deprived),Wider Barriers Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Indoors Sub-domain Score,Indoors Sub-domain Rank (where 1 is most deprived),Indoors Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Outdoors Sub-domain Score,Outdoors Sub-domain Rank (where 1 is most deprived),Outdoors Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Total population: mid 2012 (excluding prisoners),Dependent Children aged 0-15: mid 2012 (excluding prisoners),Population aged 16-59: mid 2012 (excluding prisoners),Older population aged 60 and over: mid 2012 (excluding prisoners),Working age population 18-59/64: for use with Employment Deprivation Domain (excluding prisoners) 
E01025288,Preston 010D,E07000123,Preston,21.072,13403,5,0.152,12243,4,0.107,14679,5,10.527,21347,7,1.03,4171,2,-0.402,22577,7,16.895,20656,7,29.895,8705,3,0.267,8360,3,0.249,8456,3,-0.098,17848,6,0.232,23824,8,0.454,8546,3,-2.459,27959,9,0.869,5246,2,-0.438,22738,7,1600,240,1119,241,1129.75
E01025246,Preston 011A,E07000123,Preston,30.631,7938,3,0.204,8095,3,0.148,9197,3,35.031,6847,3,0.708,7037,3,0.403,10363,4,9.68,29122,9,48.398,2577,1,0.135,17547,6,0.586,290,1,-0.64,25752,8,0.516,1581,1,-1.766,32562,10,0.278,14034,5,1.243,2494,1,0.623,7386,3,1726,488,1045,193,1024
E01025274,Preston 011B,E07000123,Preston,36.511,5600,2,0.172,10429,4,0.121,12369,4,32.542,7643,3,1.554,1449,1,1.269,1599,1,7.685,30693,10,56.245,1303,1,0.407,2624,1,0.207,11340,4,0.821,5278,2,0.347,11022,4,-1.825,32624,10,-0.235,16741,6,1.533,1199,1,0.516,8621,3,1903,249,1464,190,1454.25
E01025275,Preston 011C,E07000123,Preston,41.102,4192,2,0.206,7943,3,0.178,6568,2,32.144,7785,3,1.41,1983,1,1.581,567,1,9.208,29548,9,51.945,1916,1,0.254,9004,3,0.334,4454,2,0.729,6183,2,0.361,9802,3,-1.102,30430,10,-0.043,15681,5,1.183,2863,1,1.082,3450,2,1626,256,1099,271,1122.25
E01025294,Preston 011D,E07000123,Preston,27.479,9472,3,0.172,10470,4,0.119,12802,4,27.853,9474,3,0.771,6383,2,-0.155,18928,6,12.372,26208,8,58.184,1085,1,0.183,13516,5,0.387,2765,1,0.027,15792,5,0.419,5628,2,-1.027,29893,10,0.687,12022,4,1.733,673,1,0.073,14907,5,1873,428,1292,153,1289.5
E01025276,Preston 012A,E07000123,Preston,24.376,11212,4,0.119,15828,5,0.107,14614,5,15.691,16919,6,0.485,9550,3,1.269,1596,1,7.643,30721,10,45.043,3317,2,0.137,17394,6,0.205,11450,4,-0.295,20904,7,0.329,12832,4,-0.55,24866,8,-1.211,22089,7,1.178,2900,1,0.492,8904,3,1744,357,1132,255,1119
E01025308,Preston 012B,E07000123,Preston,24.474,11163,4,0.138,13628,5,0.095,16669,6,18.175,15040,5,0.511,9277,3,1.143,2314,1,8.303,30283,10,46.4,3007,1,0.238,9954,4,0.167,14722,5,0.161,13667,5,0.302,15742,5,-0.443,23327,8,-1.237,22210,7,1.258,2410,1,0.383,10322,4,1703,333,1205,165,1184.25
E01025310,Preston 012C,E07000123,Preston,28.739,8805,3,0.157,11807,4,0.115,13345,5,22.223,12347,4,1.002,4397,2,0.803,5209,2,6.269,31551,10,55.078,1448,1,0.284,7454,3,0.213,10832,4,0.544,8224,3,0.282,18097,6,-0.844,28360,9,-1.166,21867,7,1.538,1178,1,0.379,10387,4,1555,250,1093,212,1096
E01025311,Preston 012D,E07000123,Preston,21.322,13220,5,0.161,11433,4,0.101,15577,5,19.171,14367,5,0.552,8785,3,-0.199,19597,6,4.247,32348,10,44.321,3489,2,0.26,8716,3,0.233,9484,3,0.312,11421,4,0.289,17211,6,-1.196,30955,10,-1.567,23956,8,0.995,4209,2,0.883,4854,2,1333,258,864,211,862.75
E01025312,Preston 012E,E07000123,Preston,31.896,7363,3,0.161,11450,4,0.116,13194,5,40.453,5228,2,1.08,3836,2,0.814,5097,2,6.388,31487,10,55.02,1460,1,0.307,6299,2,0.195,12266,4,1.405,1385,1,0.285,17676,6,-0.506,24247,8,-1.846,25316,8,1.49,1336,1,0.517,8606,3,1664,289,1199,176,1192.25
E01025313,Preston 012F,E07000123,Preston,37.696,5230,2,0.179,9812,3,0.124,12073,4,61.872,1461,1,1.747,894,1,0.611,7527,3,13.268,25155,8,40.028,4717,2,0.4,2826,1,0.434,1739,1,1.786,381,1,0.415,5865,2,-1.151,30703,10,0.948,10789,4,0.89,5035,2,0.732,6235,2,1890,181,1504,205,1505
E01025314,Preston 012G,E07000123,Preston,20.136,14131,5,0.086,20577,7,0.046,28867,9,29.493,8787,3,0.636,7846,3,0.079,15321,5,18.387,18828,6,54.214,1565,1,0.337,5083,2,0.229,9707,3,0.98,3887,2,0.271,19309,6,-0.095,17450,6,0.674,12087,4,1.422,1604,1,0.644,7136,3,2588,201,2186,201,2113.75
E01025231,Preston 013A,E07000123,Preston,12.547,21154,7,0.073,23063,8,0.065,23749,8,4.179,28350,9,0.136,14157,5,0.388,10575,4,7.641,30725,10,36.804,5830,2,0.032,31085,10,0.131,18499,6,-1.269,31037,10,0.23,24036,8,-0.327,21474,7,-1.898,25581,8,1.014,4058,2,0.091,14620,5,1442,223,777,442,781.75
E01025232,Preston 013B,E07000123,Preston,28.656,8846,3,0.186,9294,3,0.131,11120,4,13.015,19073,6,0.922,5015,2,0.475,9371,3,6.007,31680,10,59.481,928,1,0.362,4150,2,0.234,9371,3,-0.082,17598,6,0.271,19375,6,-1.214,31052,10,-0.903,20431,7,1.668,796,1,0.405,10050,4,1599,267,1195,137,1188.25
E01025265,Preston 013C,E07000123,Preston,16.869,16869,6,0.103,17807,6,0.112,13822,5,12.438,19617,6,0.678,7367,3,0.146,14279,5,16.19,21537,7,9.523,24061,8,0.091,22401,7,0.152,16163,5,-0.239,20059,7,0.283,17894,6,0.438,8768,3,-2.8,29025,9,-0.407,22295,7,-0.261,20173,7,1471,265,945,261,949.75
E01025267,Preston 013D,E07000123,Preston,26.391,10070,4,0.155,11948,4,0.146,9458,3,25.369,10671,4,1.056,3992,2,0.6,7677,3,7.921,30538,10,24.369,11784,4,0.173,14335,5,0.187,13005,4,0.274,11954,4,0.365,9418,3,-0.493,24065,8,-1.247,22270,7,0.584,8333,3,-0.222,19553,6,1446,281,820,345,820.25
E01025268,Preston 013E,E07000123,Preston,36.578,5579,2,0.233,6344,2,0.222,3744,2,28.14,9349,3,1.622,1235,1,0.322,11582,4,9.225,29533,9,23.837,12096,4,0.267,8339,3,0.252,8247,3,-0.023,16579,6,0.426,5205,2,-0.94,29227,9,-0.159,16309,5,0.601,8117,3,-0.393,22084,7,1697,348,957,392,978.75
E01025269,Preston 013F,E07000123,Preston,32.79,7011,3,0.239,6036,2,0.158,8233,3,40.386,5246,2,1.169,3244,1,0.362,10940,4,10.685,28054,9,26.535,10489,4,0.329,5381,2,0.257,7982,3,0.75,5986,2,0.435,4721,2,-0.399,22631,7,-0.563,18531,6,0.679,7236,3,-0.201,19256,6,1689,406,980,303,1001.75
E01025271,Preston 013G,E07000123,Preston,20.29,13997,5,0.136,13852,5,0.136,10460,4,27.046,9876,4,0.619,8021,3,0.03,16071,5,10.901,27814,9,6.702,27347,9,0.162,15232,5,0.148,16632,6,0.439,9569,3,0.357,10112,4,-0.224,19721,7,-0.981,20865,7,-0.699,25854,8,-0.374,21820,7,1578,300,880,398,874.75
E01025295,Preston 014A,E07000123,Preston,51.449,1975,1,0.29,3723,2,0.235,3112,1,45.408,4073,2,2.171,254,1,0.889,4377,2,17.819,19539,6,51.383,2020,1,0.267,8362,3,0.506,775,1,0.592,7672,3,0.496,2206,1,-0.624,25878,8,1.513,8508,3,1.214,2675,1,0.956,4266,2,2267,345,1506,416,1544.5
E01025296,Preston 014B,E07000123,Preston,48.263,2556,1,0.314,2832,1,0.228,3466,2,49.471,3259,1,1.442,1852,1,1.321,1360,1,15.226,22755,7,31.8,7882,3,0.373,3746,2,0.426,1901,1,0.78,5678,2,0.502,2026,1,-0.752,27387,9,1.097,10161,4,0.659,7446,3,0.488,8955,3,1928,541,1185,202,1182.5
E01025297,Preston 014C,E07000123,Preston,49.75,2271,1,0.325,2510,1,0.217,4056,2,48.751,3401,2,1.377,2145,1,1.257,1657,1,11.338,27347,9,53.248,1727,1,0.41,2553,1,0.375,3069,1,0.652,7005,3,0.512,1718,1,-1.591,32316,10,0.65,12186,4,1.351,1933,1,0.762,5928,2,2020,550,1243,227,1228
E01025298,Preston 014D,E07000123,Preston,48.878,2442,1,0.299,3383,2,0.197,5253,2,55.285,2302,1,1.372,2167,1,1.318,1375,1,13.035,25425,8,54.538,1525,1,0.341,4931,2,0.394,2584,1,1.042,3388,2,0.504,1940,1,-0.913,29009,9,0.757,11678,4,1.447,1504,1,0.603,7592,3,1639,460,983,196,966.75
E01025244,Preston 015A,E07000123,Preston,35.141,6090,2,0.274,4389,2,0.176,6695,3,36.092,6476,2,0.637,7834,3,-0.1,18051,6,13.036,25423,8,55.129,1439,1,0.225,10742,4,0.673,97,1,-0.159,18820,6,0.501,2064,1,-1.574,32280,10,1.019,10466,4,1.539,1175,1,0.381,10355,4,1685,498,1027,160,984.5
E01025292,Preston 015B,E07000123,Preston,35.337,6020,2,0.119,15750,5,0.086,18588,6,64.878,1158,1,1.532,1521,1,0.891,4369,2,17.833,19524,6,48.961,2471,1,0.369,3880,2,0.392,2639,1,1.711,505,1,0.456,3774,2,-1.297,31464,10,1.942,6934,3,1.208,2698,1,0.763,5916,2,3059,194,2709,156,2592.5
E01025293,Preston 015C,E07000123,Preston,54.537,1533,1,0.346,1861,1,0.273,1740,1,53.034,2639,1,1.632,1205,1,0.907,4215,2,15.289,22690,7,46.087,3082,1,0.312,6122,2,0.509,756,1,0.465,9242,3,0.554,708,1,-1.238,31189,10,1.426,8837,3,1.003,4142,2,1.012,3891,2,2038,397,1300,341,1284.75
E01025247,Preston 016A,E07000123,Preston,39.263,4736,2,0.272,4480,2,0.167,7440,3,40.991,5083,2,0.805,6065,2,0.9,4270,2,14.222,24017,8,56.805,1243,1,0.297,6814,3,0.543,484,1,0.379,10416,4,0.488,2461,1,-1.891,32678,10,1.31,9280,3,1.33,2054,1,1.121,3188,1,1712,451,1067,194,1058.5
E01025248,Preston 016B,E07000123,Preston,51.898,1900,1,0.364,1456,1,0.257,2222,1,70.956,700,1,1.643,1177,1,0.2,13480,5,13.705,24635,8,18.739,15584,5,0.411,2536,1,0.43,1815,1,1.275,1949,1,0.564,544,1,-1.178,30850,10,1.057,10320,4,-0.052,17243,6,0.424,9809,3,1363,420,757,186,756.25
E01025249,Preston 016C,E07000123,Preston,26.591,9948,4,0.149,12583,4,0.158,8209,3,29.532,8775,3,0.96,4714,2,0.49,9164,3,7.857,30577,10,24.474,11724,4,0.158,15546,5,0.202,11680,4,0.111,14440,5,0.424,5281,2,-0.564,25062,8,-1.101,21505,7,0.443,10097,4,0.18,13229,5,1033,168,577,288,575.75
E01025250,Preston 016D,E07000123,Preston,47.442,2707,1,0.304,3220,1,0.209,4484,2,45.327,4091,2,1.67,1089,1,1.301,1453,1,14.4,23796,8,36.225,6054,2,0.35,4571,2,0.43,1815,1,0.462,9267,3,0.509,1788,1,-1.115,30502,10,1.188,9804,3,0.888,5053,2,0.375,10443,4,1729,485,1058,186,1022.75
E01025304,Preston 016E,E07000123,Preston,18.719,15293,5,0.13,14479,5,0.102,15469,5,22.905,11977,4,0.427,10253,4,-0.463,23395,8,14.817,23291,8,29.445,8934,3,0.13,18029,6,0.237,9180,3,-0.445,23128,8,0.413,5984,2,-0.158,18552,6,-0.036,15652,5,0.766,6295,2,-0.062,17071,6,1864,476,1080,308,1060
E01025305,Preston 016F,E07000123,Preston,38.446,4976,2,0.256,5172,2,0.2,5029,2,35.24,6784,3,1.052,4025,2,0.028,16090,5,12.166,26445,9,59.934,877,1,0.25,9241,3,0.422,1993,1,0.121,14295,5,0.472,3081,1,-1.163,30773,10,0.716,11890,4,1.587,1036,1,0.706,6478,2,1658,376,1033,249,1024.5
E01025289,Preston 017A,E07000123,Preston,28.546,8897,3,0.169,10716,4,0.117,12996,4,27.409,9706,3,0.869,5470,2,0.565,8131,3,14.887,23185,8,50.762,2128,1,0.316,5961,2,0.308,5491,2,0.536,8329,3,0.345,11231,4,-0.467,23679,8,0.658,12155,4,1.289,2258,1,0.718,6365,2,1618,224,1220,174,1230
E01025290,Preston 017B,E07000123,Preston,38.283,5046,2,0.232,6435,2,0.199,5083,2,25.429,10646,4,1.489,1693,1,-0.29,20907,7,15.841,21997,7,60.76,800,1,0.29,7151,3,0.435,1718,1,0.347,10888,4,0.355,10290,4,-0.946,29279,9,1.388,8970,3,1.698,737,1,0.458,9360,3,1636,210,1286,140,1271.5
E01025291,Preston 017C,E07000123,Preston,27.886,9235,3,0.172,10443,4,0.148,9172,3,21.957,12516,4,0.871,5460,2,0.625,7335,3,17.657,19737,7,33.608,7116,3,0.264,8501,3,0.21,11123,4,0.495,8831,3,0.288,17287,6,0.311,10620,4,-1.036,21151,7,0.927,4718,2,-0.051,16922,6,1317,239,819,259,827
E01025306,Preston 017D,E07000123,Preston,31.776,7406,3,0.166,10938,4,0.133,10908,4,13.106,18989,6,1.157,3323,2,0.887,4409,2,14.198,24050,8,62.764,609,1,0.206,12035,4,0.327,4708,2,-0.146,18630,6,0.281,18155,6,-0.825,28174,9,0.941,10833,4,1.758,614,1,0.484,8990,3,1854,240,1417,197,1413.25
E01033223,Preston 017F,E07000123,Preston,40.948,4236,2,0.132,14294,5,0.097,16448,6,57.171,2046,1,1.679,1066,1,1.414,986,1,22.945,13257,5,59.582,917,1,0.23,10401,4,0.613,219,1,1.919,200,1,0.339,11767,4,-0.347,21811,7,2.111,6340,2,1.421,1605,1,1.102,3323,2,1445,40,1299,106,1295.25
E01033224,Preston 017G,E07000123,Preston,57.186,1204,1,0.315,2818,1,0.257,2228,1,58.636,1847,1,1.659,1134,1,1.755,296,1,15.852,21974,7,48.888,2481,1,0.365,4047,2,0.459,1326,1,1.58,794,1,0.428,5095,2,-0.768,27565,9,1.249,9536,3,1.068,3638,2,1.096,3358,2,1023,158,715,150,726
E01033226,Preston 017H,E07000123,Preston,49.932,2233,1,0.305,3183,1,0.247,2602,1,33.946,7182,3,1.824,739,1,1.154,2254,1,13.296,25113,8,48.203,2619,1,0.35,4560,2,0.346,4000,2,-0.101,17897,6,0.481,2727,1,-1.999,32738,10,1.12,10075,4,1.035,3877,2,1.11,3265,1,1143,196,755,192,771
