description,LSOA ID,LSOA name,geometry
"<div class=""googft-info-window"" style=""font-family:sans-serif"">
<b>LSOA_CODE:</b> E01025255<br>
<b>LSOA_NAME:</b> Preston 004C<br>
<b>geometry:</b> -2.645952,53.791073,0.0 -2.652336,53.786738,0.0 -2.653929,53.786534,0.0 -2.656519,53.786409,0.0 -2.659552,53.786655,0.0 -2.661029,53.786344,0.0 -2.660997,53.785835,0.0 -2.662086,53.785293,0.0 -2.664094,53.785315,0.0 -2.664184,53.785306,0.0 -2.666431,53.785266,0.0 -2.667224,53.785125,0.0 -2.671817,53.783665,0.0 -2.673055,53.783918,0.0 -2.67354,53.783697,0.0 -2.677342,53.784132,0.0 -2.67952,53.783689,0.0 -2.679933,53.784084,0.0 -2.67842,53.785015,0.0 -2.679192,53.786205,0.0 -2.679647,53.786128,0.0 -2.679626,53.787217,0.0 -2.677872,53.786844,0.0 -2.676922,53.787112,0.0 -2.676057,53.786785,0.0 -2.675326,53.786902,0.0 -2.672266,53.786788,0.0 -2.672682,53.787751,0.0 -2.672003,53.78829,0.0 -2.669415,53.788811,0.0 -2.66903,53.788008,0.0 -2.668205,53.78815,0.0 -2.668592,53.788633,0.0 -2.668304,53.789463,0.0 -2.669691,53.789364,0.0 -2.669756,53.789585,0.0 -2.669099,53.790081,0.0 -2.66736,53.790383,0.0 -2.666945,53.789448,0.0 -2.665327,53.789826,0.0 -2.666089,53.79035,0.0 -2.666696,53.791585,0.0 -2.666456,53.791944,0.0 -2.662257,53.790332,0.0 -2.655127,53.792281,0.0 -2.649948,53.793247,0.0 -2.648279,53.791953,0.0 -2.645952,53.791073,0.0
</div>",E01025255,Preston 004C,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-2.645952,53.791073,0.0 -2.652336,53.786738,0.0 -2.653929,53.786534,0.0 -2.656519,53.786409,0.0 -2.659552,53.786655,0.0 -2.661029,53.786344,0.0 -2.660997,53.785835,0.0 -2.662086,53.785293,0.0 -2.664094,53.785315,0.0 -2.664184,53.785306,0.0 -2.666431,53.785266,0.0 -2.667224,53.785125,0.0 -2.671817,53.783665,0.0 -2.673055,53.783918,0.0 -2.67354,53.783697,0.0 -2.677342,53.784132,0.0 -2.67952,53.783689,0.0 -2.679933,53.784084,0.0 -2.67842,53.785015,0.0 -2.679192,53.786205,0.0 -2.679647,53.786128,0.0 -2.679626,53.787217,0.0 -2.677872,53.786844,0.0 -2.676922,53.787112,0.0 -2.676057,53.786785,0.0 -2.675326,53.786902,0.0 -2.672266,53.786788,0.0 -2.672682,53.787751,0.0 -2.672003,53.78829,0.0 -2.669415,53.788811,0.0 -2.66903,53.788008,0.0 -2.668205,53.78815,0.0 -2.668592,53.788633,0.0 -2.668304,53.789463,0.0 -2.669691,53.789364,0.0 -2.669756,53.789585,0.0 -2.669099,53.790081,0.0 -2.66736,53.790383,0.0 -2.666945,53.789448,0.0 -2.665327,53.789826,0.0 -2.666089,53.79035,0.0 -2.666696,53.791585,0.0 -2.666456,53.791944,0.0 -2.662257,53.790332,0.0 -2.655127,53.792281,0.0 -2.649948,53.793247,0.0 -2.648279,53.791953,0.0 -2.645952,53.791073,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
"<div class=""googft-info-window"" style=""font-family:sans-serif"">
<b>LSOA_CODE:</b> E01025256<br>
<b>LSOA_NAME:</b> Preston 003A<br>
<b>geometry:</b> -2.714058,53.794132,0.0 -2.713988,53.793187,0.0 -2.713551,53.791383,0.0 -2.713287,53.790443,0.0 -2.712503,53.787555,0.0 -2.711759,53.784761,0.0 -2.711582,53.784098,0.0 -2.71217,53.783927,0.0 -2.712557,53.783821,0.0 -2.714279,53.783355,0.0 -2.715976,53.783367,0.0 -2.717978,53.782972,0.0 -2.722199,53.783291,0.0 -2.725576,53.783567,0.0 -2.725608,53.783895,0.0 -2.723277,53.783949,0.0 -2.721066,53.784705,0.0 -2.720072,53.784847,0.0 -2.719749,53.784609,0.0 -2.719064,53.78435,0.0 -2.718312,53.78447,0.0 -2.718269,53.784119,0.0 -2.717282,53.784253,0.0 -2.718021,53.784657,0.0 -2.715537,53.78513,0.0 -2.715593,53.786079,0.0 -2.716263,53.786315,0.0 -2.716719,53.787156,0.0 -2.717204,53.787061,0.0 -2.717374,53.787728,0.0 -2.716933,53.788309,0.0 -2.717346,53.788533,0.0 -2.717886,53.788586,0.0 -2.717783,53.788921,0.0 -2.717116,53.789585,0.0 -2.716571,53.789616,0.0 -2.716846,53.790493,0.0 -2.717879,53.790849,0.0 -2.718132,53.790648,0.0 -2.718087,53.791264,0.0 -2.717337,53.791489,0.0 -2.717882,53.792045,0.0 -2.717496,53.792216,0.0 -2.716352,53.791801,0.0 -2.71575,53.79221,0.0 -2.716657,53.793315,0.0 -2.716184,53.793301,0.0 -2.716016,53.793733,0.0 -2.71491,53.793771,0.0 -2.714481,53.794154,0.0 -2.714058,53.794132,0.0
</div>",E01025256,Preston 003A,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-2.714058,53.794132,0.0 -2.713988,53.793187,0.0 -2.713551,53.791383,0.0 -2.713287,53.790443,0.0 -2.712503,53.787555,0.0 -2.711759,53.784761,0.0 -2.711582,53.784098,0.0 -2.71217,53.783927,0.0 -2.712557,53.783821,0.0 -2.714279,53.783355,0.0 -2.715976,53.783367,0.0 -2.717978,53.782972,0.0 -2.722199,53.783291,0.0 -2.725576,53.783567,0.0 -2.725608,53.783895,0.0 -2.723277,53.783949,0.0 -2.721066,53.784705,0.0 -2.720072,53.784847,0.0 -2.719749,53.784609,0.0 -2.719064,53.78435,0.0 -2.718312,53.78447,0.0 -2.718269,53.784119,0.0 -2.717282,53.784253,0.0 -2.718021,53.784657,0.0 -2.715537,53.78513,0.0 -2.715593,53.786079,0.0 -2.716263,53.786315,0.0 -2.716719,53.787156,0.0 -2.717204,53.787061,0.0 -2.717374,53.787728,0.0 -2.716933,53.788309,0.0 -2.717346,53.788533,0.0 -2.717886,53.788586,0.0 -2.717783,53.788921,0.0 -2.717116,53.789585,0.0 -2.716571,53.789616,0.0 -2.716846,53.790493,0.0 -2.717879,53.790849,0.0 -2.718132,53.790648,0.0 -2.718087,53.791264,0.0 -2.717337,53.791489,0.0 -2.717882,53.792045,0.0 -2.717496,53.792216,0.0 -2.716352,53.791801,0.0 -2.71575,53.79221,0.0 -2.716657,53.793315,0.0 -2.716184,53.793301,0.0 -2.716016,53.793733,0.0 -2.71491,53.793771,0.0 -2.714481,53.794154,0.0 -2.714058,53.794132,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
"<div class=""googft-info-window"" style=""font-family:sans-serif"">
<b>LSOA_CODE:</b> E01025257<br>
<b>LSOA_NAME:</b> Preston 002A<br>
<b>geometry:</b> -2.726658,53.79586,0.0 -2.726617,53.795257,0.0 -2.726029,53.794092,0.0 -2.725563,53.794092,0.0 -2.725759,53.793836,0.0 -2.723868,53.793799,0.0 -2.722479,53.793431,0.0 -2.723946,53.792886,0.0 -2.722768,53.791313,0.0 -2.722665,53.790929,0.0 -2.724337,53.790473,0.0 -2.726735,53.791186,0.0 -2.727341,53.790907,0.0 -2.726703,53.786446,0.0 -2.726495,53.786198,0.0 -2.724462,53.786578,0.0 -2.723833,53.785126,0.0 -2.723277,53.783949,0.0 -2.725608,53.783895,0.0 -2.725576,53.783567,0.0 -2.726754,53.78346,0.0 -2.727343,53.781375,0.0 -2.729201,53.780197,0.0 -2.730962,53.779414,0.0 -2.73151,53.780742,0.0 -2.731858,53.78138,0.0 -2.731387,53.78252,0.0 -2.73241,53.783025,0.0 -2.732691,53.784015,0.0 -2.733957,53.78506,0.0 -2.734874,53.787058,0.0 -2.736769,53.78842,0.0 -2.73886,53.788959,0.0 -2.740058,53.788888,0.0 -2.740533,53.78858,0.0 -2.740799,53.788793,0.0 -2.739358,53.791767,0.0 -2.739768,53.79214,0.0 -2.740425,53.791802,0.0 -2.743699,53.790227,0.0 -2.746287,53.790929,0.0 -2.745041,53.791544,0.0 -2.745344,53.79209,0.0 -2.745483,53.792346,0.0 -2.744654,53.792602,0.0 -2.744805,53.792933,0.0 -2.744637,53.793028,0.0 -2.743783,53.793502,0.0 -2.743275,53.79387,0.0 -2.742031,53.794758,0.0 -2.729605,53.796249,0.0 -2.729438,53.795971,0.0 -2.728646,53.796127,0.0 -2.728403,53.795572,0.0 -2.724833,53.796646,0.0 -2.724734,53.796031,0.0 -2.726658,53.79586,0.0
</div>",E01025257,Preston 002A,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-2.726658,53.79586,0.0 -2.726617,53.795257,0.0 -2.726029,53.794092,0.0 -2.725563,53.794092,0.0 -2.725759,53.793836,0.0 -2.723868,53.793799,0.0 -2.722479,53.793431,0.0 -2.723946,53.792886,0.0 -2.722768,53.791313,0.0 -2.722665,53.790929,0.0 -2.724337,53.790473,0.0 -2.726735,53.791186,0.0 -2.727341,53.790907,0.0 -2.726703,53.786446,0.0 -2.726495,53.786198,0.0 -2.724462,53.786578,0.0 -2.723833,53.785126,0.0 -2.723277,53.783949,0.0 -2.725608,53.783895,0.0 -2.725576,53.783567,0.0 -2.726754,53.78346,0.0 -2.727343,53.781375,0.0 -2.729201,53.780197,0.0 -2.730962,53.779414,0.0 -2.73151,53.780742,0.0 -2.731858,53.78138,0.0 -2.731387,53.78252,0.0 -2.73241,53.783025,0.0 -2.732691,53.784015,0.0 -2.733957,53.78506,0.0 -2.734874,53.787058,0.0 -2.736769,53.78842,0.0 -2.73886,53.788959,0.0 -2.740058,53.788888,0.0 -2.740533,53.78858,0.0 -2.740799,53.788793,0.0 -2.739358,53.791767,0.0 -2.739768,53.79214,0.0 -2.740425,53.791802,0.0 -2.743699,53.790227,0.0 -2.746287,53.790929,0.0 -2.745041,53.791544,0.0 -2.745344,53.79209,0.0 -2.745483,53.792346,0.0 -2.744654,53.792602,0.0 -2.744805,53.792933,0.0 -2.744637,53.793028,0.0 -2.743783,53.793502,0.0 -2.743275,53.79387,0.0 -2.742031,53.794758,0.0 -2.729605,53.796249,0.0 -2.729438,53.795971,0.0 -2.728646,53.796127,0.0 -2.728403,53.795572,0.0 -2.724833,53.796646,0.0 -2.724734,53.796031,0.0 -2.726658,53.79586,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
"<div class=""googft-info-window"" style=""font-family:sans-serif"">
<b>LSOA_CODE:</b> E01025258<br>
<b>LSOA_NAME:</b> Preston 003B<br>
<b>geometry:</b> -2.720279,53.792699,0.0 -2.719644,53.791648,0.0 -2.71907,53.791801,0.0 -2.718636,53.791922,0.0 -2.718469,53.791714,0.0 -2.718087,53.791264,0.0 -2.718132,53.790648,0.0 -2.717879,53.790849,0.0 -2.716846,53.790493,0.0 -2.716571,53.789616,0.0 -2.717116,53.789585,0.0 -2.717783,53.788921,0.0 -2.717886,53.788586,0.0 -2.717346,53.788533,0.0 -2.716933,53.788309,0.0 -2.717374,53.787728,0.0 -2.717204,53.787061,0.0 -2.716719,53.787156,0.0 -2.716263,53.786315,0.0 -2.715593,53.786079,0.0 -2.715537,53.78513,0.0 -2.718021,53.784657,0.0 -2.717282,53.784253,0.0 -2.718269,53.784119,0.0 -2.718312,53.78447,0.0 -2.719064,53.78435,0.0 -2.719749,53.784609,0.0 -2.720072,53.784847,0.0 -2.721066,53.784705,0.0 -2.723277,53.783949,0.0 -2.723833,53.785126,0.0 -2.724462,53.786578,0.0 -2.726495,53.786198,0.0 -2.726703,53.786446,0.0 -2.727341,53.790907,0.0 -2.726735,53.791186,0.0 -2.724337,53.790473,0.0 -2.722665,53.790929,0.0 -2.722768,53.791313,0.0 -2.721858,53.791561,0.0 -2.722131,53.792073,0.0 -2.720911,53.792589,0.0 -2.720279,53.792699,0.0
</div>",E01025258,Preston 003B,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-2.720279,53.792699,0.0 -2.719644,53.791648,0.0 -2.71907,53.791801,0.0 -2.718636,53.791922,0.0 -2.718469,53.791714,0.0 -2.718087,53.791264,0.0 -2.718132,53.790648,0.0 -2.717879,53.790849,0.0 -2.716846,53.790493,0.0 -2.716571,53.789616,0.0 -2.717116,53.789585,0.0 -2.717783,53.788921,0.0 -2.717886,53.788586,0.0 -2.717346,53.788533,0.0 -2.716933,53.788309,0.0 -2.717374,53.787728,0.0 -2.717204,53.787061,0.0 -2.716719,53.787156,0.0 -2.716263,53.786315,0.0 -2.715593,53.786079,0.0 -2.715537,53.78513,0.0 -2.718021,53.784657,0.0 -2.717282,53.784253,0.0 -2.718269,53.784119,0.0 -2.718312,53.78447,0.0 -2.719064,53.78435,0.0 -2.719749,53.784609,0.0 -2.720072,53.784847,0.0 -2.721066,53.784705,0.0 -2.723277,53.783949,0.0 -2.723833,53.785126,0.0 -2.724462,53.786578,0.0 -2.726495,53.786198,0.0 -2.726703,53.786446,0.0 -2.727341,53.790907,0.0 -2.726735,53.791186,0.0 -2.724337,53.790473,0.0 -2.722665,53.790929,0.0 -2.722768,53.791313,0.0 -2.721858,53.791561,0.0 -2.722131,53.792073,0.0 -2.720911,53.792589,0.0 -2.720279,53.792699,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
"<div class=""googft-info-window"" style=""font-family:sans-serif"">
<b>LSOA_CODE:</b> E01025259<br>
<b>LSOA_NAME:</b> Preston 003C<br>
<b>geometry:</b> -2.715311,53.797847,0.0 -2.714281,53.796128,0.0 -2.714058,53.794132,0.0 -2.714481,53.794154,0.0 -2.71491,53.793771,0.0 -2.716016,53.793733,0.0 -2.716184,53.793301,0.0 -2.716657,53.793315,0.0 -2.71575,53.79221,0.0 -2.716352,53.791801,0.0 -2.717496,53.792216,0.0 -2.717882,53.792045,0.0 -2.717337,53.791489,0.0 -2.718087,53.791264,0.0 -2.718469,53.791714,0.0 -2.718636,53.791922,0.0 -2.71907,53.791801,0.0 -2.719644,53.791648,0.0 -2.720279,53.792699,0.0 -2.720911,53.792589,0.0 -2.722131,53.792073,0.0 -2.721858,53.791561,0.0 -2.722768,53.791313,0.0 -2.723946,53.792886,0.0 -2.722479,53.793431,0.0 -2.723868,53.793799,0.0 -2.725759,53.793836,0.0 -2.725563,53.794092,0.0 -2.726029,53.794092,0.0 -2.726617,53.795257,0.0 -2.726658,53.79586,0.0 -2.724734,53.796031,0.0 -2.724833,53.796646,0.0 -2.728403,53.795572,0.0 -2.728646,53.796127,0.0 -2.729438,53.795971,0.0 -2.729605,53.796249,0.0 -2.728407,53.796728,0.0 -2.72983,53.799093,0.0 -2.717804,53.800698,0.0 -2.716727,53.80081,0.0 -2.715311,53.797847,0.0
</div>",E01025259,Preston 003C,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-2.715311,53.797847,0.0 -2.714281,53.796128,0.0 -2.714058,53.794132,0.0 -2.714481,53.794154,0.0 -2.71491,53.793771,0.0 -2.716016,53.793733,0.0 -2.716184,53.793301,0.0 -2.716657,53.793315,0.0 -2.71575,53.79221,0.0 -2.716352,53.791801,0.0 -2.717496,53.792216,0.0 -2.717882,53.792045,0.0 -2.717337,53.791489,0.0 -2.718087,53.791264,0.0 -2.718469,53.791714,0.0 -2.718636,53.791922,0.0 -2.71907,53.791801,0.0 -2.719644,53.791648,0.0 -2.720279,53.792699,0.0 -2.720911,53.792589,0.0 -2.722131,53.792073,0.0 -2.721858,53.791561,0.0 -2.722768,53.791313,0.0 -2.723946,53.792886,0.0 -2.722479,53.793431,0.0 -2.723868,53.793799,0.0 -2.725759,53.793836,0.0 -2.725563,53.794092,0.0 -2.726029,53.794092,0.0 -2.726617,53.795257,0.0 -2.726658,53.79586,0.0 -2.724734,53.796031,0.0 -2.724833,53.796646,0.0 -2.728403,53.795572,0.0 -2.728646,53.796127,0.0 -2.729438,53.795971,0.0 -2.729605,53.796249,0.0 -2.728407,53.796728,0.0 -2.72983,53.799093,0.0 -2.717804,53.800698,0.0 -2.716727,53.80081,0.0 -2.715311,53.797847,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
"<div class=""googft-info-window"" style=""font-family:sans-serif"">
<b>LSOA_CODE:</b> E01025260<br>
<b>LSOA_NAME:</b> Preston 005A<br>
<b>geometry:</b> -2.745443,53.781161,0.0 -2.744996,53.781093,0.0 -2.742781,53.78172,0.0 -2.741732,53.780675,0.0 -2.742843,53.780218,0.0 -2.741019,53.780086,0.0 -2.742263,53.779266,0.0 -2.741608,53.778708,0.0 -2.740494,53.77871,0.0 -2.739983,53.778413,0.0 -2.738847,53.776579,0.0 -2.735619,53.774253,0.0 -2.735942,53.774196,0.0 -2.73667,53.773724,0.0 -2.736972,53.774116,0.0 -2.739154,53.77457,0.0 -2.740388,53.774037,0.0 -2.743985,53.774567,0.0 -2.746225,53.773911,0.0 -2.749387,53.774729,0.0 -2.750633,53.776727,0.0 -2.751575,53.779458,0.0 -2.75055,53.78058,0.0 -2.748642,53.780798,0.0 -2.74725,53.781366,0.0 -2.74563,53.781733,0.0 -2.745443,53.781161,0.0
</div>",E01025260,Preston 005A,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-2.745443,53.781161,0.0 -2.744996,53.781093,0.0 -2.742781,53.78172,0.0 -2.741732,53.780675,0.0 -2.742843,53.780218,0.0 -2.741019,53.780086,0.0 -2.742263,53.779266,0.0 -2.741608,53.778708,0.0 -2.740494,53.77871,0.0 -2.739983,53.778413,0.0 -2.738847,53.776579,0.0 -2.735619,53.774253,0.0 -2.735942,53.774196,0.0 -2.73667,53.773724,0.0 -2.736972,53.774116,0.0 -2.739154,53.77457,0.0 -2.740388,53.774037,0.0 -2.743985,53.774567,0.0 -2.746225,53.773911,0.0 -2.749387,53.774729,0.0 -2.750633,53.776727,0.0 -2.751575,53.779458,0.0 -2.75055,53.78058,0.0 -2.748642,53.780798,0.0 -2.74725,53.781366,0.0 -2.74563,53.781733,0.0 -2.745443,53.781161,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
"<div class=""googft-info-window"" style=""font-family:sans-serif"">
<b>LSOA_CODE:</b> E01025261<br>
<b>LSOA_NAME:</b> Preston 008C<br>
<b>geometry:</b> -2.73267,53.774683,0.0 -2.733064,53.774159,0.0 -2.735619,53.774253,0.0 -2.738847,53.776579,0.0 -2.739983,53.778413,0.0 -2.740494,53.77871,0.0 -2.741608,53.778708,0.0 -2.742263,53.779266,0.0 -2.741019,53.780086,0.0 -2.740514,53.780497,0.0 -2.741164,53.781321,0.0 -2.740663,53.781777,0.0 -2.740909,53.782096,0.0 -2.739124,53.782143,0.0 -2.737561,53.782959,0.0 -2.737975,53.783576,0.0 -2.738275,53.784106,0.0 -2.733957,53.78506,0.0 -2.732691,53.784015,0.0 -2.73241,53.783025,0.0 -2.731387,53.78252,0.0 -2.731858,53.78138,0.0 -2.73151,53.780742,0.0 -2.730962,53.779414,0.0 -2.733348,53.778498,0.0 -2.734065,53.778132,0.0 -2.73505,53.777295,0.0 -2.731291,53.774974,0.0 -2.73267,53.774683,0.0
</div>",E01025261,Preston 008C,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-2.73267,53.774683,0.0 -2.733064,53.774159,0.0 -2.735619,53.774253,0.0 -2.738847,53.776579,0.0 -2.739983,53.778413,0.0 -2.740494,53.77871,0.0 -2.741608,53.778708,0.0 -2.742263,53.779266,0.0 -2.741019,53.780086,0.0 -2.740514,53.780497,0.0 -2.741164,53.781321,0.0 -2.740663,53.781777,0.0 -2.740909,53.782096,0.0 -2.739124,53.782143,0.0 -2.737561,53.782959,0.0 -2.737975,53.783576,0.0 -2.738275,53.784106,0.0 -2.733957,53.78506,0.0 -2.732691,53.784015,0.0 -2.73241,53.783025,0.0 -2.731387,53.78252,0.0 -2.731858,53.78138,0.0 -2.73151,53.780742,0.0 -2.730962,53.779414,0.0 -2.733348,53.778498,0.0 -2.734065,53.778132,0.0 -2.73505,53.777295,0.0 -2.731291,53.774974,0.0 -2.73267,53.774683,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
"<div class=""googft-info-window"" style=""font-family:sans-serif"">
<b>LSOA_CODE:</b> E01025262<br>
<b>LSOA_NAME:</b> Preston 005B<br>
<b>geometry:</b> -2.747629,53.784506,0.0 -2.748096,53.78413,0.0 -2.746212,53.784185,0.0 -2.743304,53.784438,0.0 -2.743688,53.784021,0.0 -2.742819,53.783482,0.0 -2.74242,53.783024,0.0 -2.741049,53.78323,0.0 -2.740732,53.782831,0.0 -2.737975,53.783576,0.0 -2.737561,53.782959,0.0 -2.739124,53.782143,0.0 -2.740909,53.782096,0.0 -2.740663,53.781777,0.0 -2.741164,53.781321,0.0 -2.740514,53.780497,0.0 -2.741019,53.780086,0.0 -2.742843,53.780218,0.0 -2.741732,53.780675,0.0 -2.742781,53.78172,0.0 -2.744996,53.781093,0.0 -2.745443,53.781161,0.0 -2.74563,53.781733,0.0 -2.74725,53.781366,0.0 -2.748642,53.780798,0.0 -2.75055,53.78058,0.0 -2.751575,53.779458,0.0 -2.751766,53.780975,0.0 -2.751691,53.782329,0.0 -2.751252,53.784351,0.0 -2.751075,53.784886,0.0 -2.750437,53.786816,0.0 -2.750338,53.78699,0.0 -2.748417,53.786625,0.0 -2.747763,53.786296,0.0 -2.747429,53.785227,0.0 -2.748183,53.785026,0.0 -2.747629,53.784506,0.0
</div>",E01025262,Preston 005B,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-2.747629,53.784506,0.0 -2.748096,53.78413,0.0 -2.746212,53.784185,0.0 -2.743304,53.784438,0.0 -2.743688,53.784021,0.0 -2.742819,53.783482,0.0 -2.74242,53.783024,0.0 -2.741049,53.78323,0.0 -2.740732,53.782831,0.0 -2.737975,53.783576,0.0 -2.737561,53.782959,0.0 -2.739124,53.782143,0.0 -2.740909,53.782096,0.0 -2.740663,53.781777,0.0 -2.741164,53.781321,0.0 -2.740514,53.780497,0.0 -2.741019,53.780086,0.0 -2.742843,53.780218,0.0 -2.741732,53.780675,0.0 -2.742781,53.78172,0.0 -2.744996,53.781093,0.0 -2.745443,53.781161,0.0 -2.74563,53.781733,0.0 -2.74725,53.781366,0.0 -2.748642,53.780798,0.0 -2.75055,53.78058,0.0 -2.751575,53.779458,0.0 -2.751766,53.780975,0.0 -2.751691,53.782329,0.0 -2.751252,53.784351,0.0 -2.751075,53.784886,0.0 -2.750437,53.786816,0.0 -2.750338,53.78699,0.0 -2.748417,53.786625,0.0 -2.747763,53.786296,0.0 -2.747429,53.785227,0.0 -2.748183,53.785026,0.0 -2.747629,53.784506,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
"<div class=""googft-info-window"" style=""font-family:sans-serif"">
<b>LSOA_CODE:</b> E01025263<br>
<b>LSOA_NAME:</b> Preston 005C<br>
<b>geometry:</b> -2.739358,53.791767,0.0 -2.740799,53.788793,0.0 -2.741179,53.788642,0.0 -2.740898,53.788467,0.0 -2.742694,53.787784,0.0 -2.744492,53.788153,0.0 -2.744861,53.787808,0.0 -2.745289,53.787279,0.0 -2.744698,53.786943,0.0 -2.745696,53.786954,0.0 -2.746491,53.786151,0.0 -2.74612,53.785594,0.0 -2.746312,53.7848,0.0 -2.746748,53.785051,0.0 -2.747281,53.784869,0.0 -2.747429,53.785227,0.0 -2.747763,53.786296,0.0 -2.748417,53.786625,0.0 -2.750338,53.78699,0.0 -2.750437,53.786816,0.0 -2.749839,53.788505,0.0 -2.74879,53.789958,0.0 -2.748059,53.791117,0.0 -2.745344,53.79209,0.0 -2.745041,53.791544,0.0 -2.746287,53.790929,0.0 -2.743699,53.790227,0.0 -2.740425,53.791802,0.0 -2.739768,53.79214,0.0 -2.739358,53.791767,0.0
</div>",E01025263,Preston 005C,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-2.739358,53.791767,0.0 -2.740799,53.788793,0.0 -2.741179,53.788642,0.0 -2.740898,53.788467,0.0 -2.742694,53.787784,0.0 -2.744492,53.788153,0.0 -2.744861,53.787808,0.0 -2.745289,53.787279,0.0 -2.744698,53.786943,0.0 -2.745696,53.786954,0.0 -2.746491,53.786151,0.0 -2.74612,53.785594,0.0 -2.746312,53.7848,0.0 -2.746748,53.785051,0.0 -2.747281,53.784869,0.0 -2.747429,53.785227,0.0 -2.747763,53.786296,0.0 -2.748417,53.786625,0.0 -2.750338,53.78699,0.0 -2.750437,53.786816,0.0 -2.749839,53.788505,0.0 -2.74879,53.789958,0.0 -2.748059,53.791117,0.0 -2.745344,53.79209,0.0 -2.745041,53.791544,0.0 -2.746287,53.790929,0.0 -2.743699,53.790227,0.0 -2.740425,53.791802,0.0 -2.739768,53.79214,0.0 -2.739358,53.791767,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
"<div class=""googft-info-window"" style=""font-family:sans-serif"">
<b>LSOA_CODE:</b> E01025264<br>
<b>LSOA_NAME:</b> Preston 005D<br>
<b>geometry:</b> -2.73886,53.788959,0.0 -2.736769,53.78842,0.0 -2.734874,53.787058,0.0 -2.733957,53.78506,0.0 -2.738275,53.784106,0.0 -2.737975,53.783576,0.0 -2.740732,53.782831,0.0 -2.741049,53.78323,0.0 -2.74242,53.783024,0.0 -2.742819,53.783482,0.0 -2.743688,53.784021,0.0 -2.743304,53.784438,0.0 -2.746212,53.784185,0.0 -2.748096,53.78413,0.0 -2.747629,53.784506,0.0 -2.748183,53.785026,0.0 -2.747429,53.785227,0.0 -2.747281,53.784869,0.0 -2.746748,53.785051,0.0 -2.746312,53.7848,0.0 -2.74612,53.785594,0.0 -2.746491,53.786151,0.0 -2.745696,53.786954,0.0 -2.744698,53.786943,0.0 -2.745289,53.787279,0.0 -2.744861,53.787808,0.0 -2.744492,53.788153,0.0 -2.742694,53.787784,0.0 -2.740898,53.788467,0.0 -2.741179,53.788642,0.0 -2.740799,53.788793,0.0 -2.740533,53.78858,0.0 -2.740058,53.788888,0.0 -2.73886,53.788959,0.0
</div>",E01025264,Preston 005D,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-2.73886,53.788959,0.0 -2.736769,53.78842,0.0 -2.734874,53.787058,0.0 -2.733957,53.78506,0.0 -2.738275,53.784106,0.0 -2.737975,53.783576,0.0 -2.740732,53.782831,0.0 -2.741049,53.78323,0.0 -2.74242,53.783024,0.0 -2.742819,53.783482,0.0 -2.743688,53.784021,0.0 -2.743304,53.784438,0.0 -2.746212,53.784185,0.0 -2.748096,53.78413,0.0 -2.747629,53.784506,0.0 -2.748183,53.785026,0.0 -2.747429,53.785227,0.0 -2.747281,53.784869,0.0 -2.746748,53.785051,0.0 -2.746312,53.7848,0.0 -2.74612,53.785594,0.0 -2.746491,53.786151,0.0 -2.745696,53.786954,0.0 -2.744698,53.786943,0.0 -2.745289,53.787279,0.0 -2.744861,53.787808,0.0 -2.744492,53.788153,0.0 -2.742694,53.787784,0.0 -2.740898,53.788467,0.0 -2.741179,53.788642,0.0 -2.740799,53.788793,0.0 -2.740533,53.78858,0.0 -2.740058,53.788888,0.0 -2.73886,53.788959,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
