Data supplied by AEA on 21/1/2016
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Leeds Centre,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"Carbon monoxide",status,unit,"PM<sub>10</sub> particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"Non-volatile PM<sub>10</sub> (Hourly measured)",status,unit,"Non-volatile PM<sub>2.5</sub> (Hourly measured)",status,unit,"Ozone",status,unit,"PM<sub>2.5</sub> particulate matter (Hourly measured)",status,unit,"Sulphur dioxide",status,unit,"Volatile PM<sub>10</sub> (Hourly measured)",status,unit,"Volatile PM<sub>2.5</sub> (Hourly measured)",status,unit
 
01-01-2015,01:00,0.174630,R,mgm-3,23.100,R,ugm-3 (TEOM FDMS),3.82298,R,ugm-3,17.54336,R,ugm-3,23.40518,R,ugm-3,20.000,R,ugm-3 (TEOM FDMS),11.700,R,ugm-3 (TEOM FDMS),51.75515,R,ugm-3,17.500,R,ugm-3 (TEOM FDMS),1.65065,R,ugm-3,3.100,R,ugm-3 (TEOM FDMS),5.800,R,ugm-3 (TEOM FDMS)
01-01-2015,02:00,0.162988,R,mgm-3,16.800,R,ugm-3 (TEOM FDMS),2.34576,R,ugm-3,16.00826,R,ugm-3,19.60504,R,ugm-3,13.500,R,ugm-3 (TEOM FDMS),10.300,R,ugm-3 (TEOM FDMS),54.14999,R,ugm-3,14.200,R,ugm-3 (TEOM FDMS),1.33577,R,ugm-3,3.300,R,ugm-3 (TEOM FDMS),3.900,R,ugm-3 (TEOM FDMS)
01-01-2015,03:00,0.130390,R,mgm-3,10.300,R,ugm-3 (TEOM FDMS),2.63929,R,ugm-3,13.45731,R,ugm-3,17.50416,R,ugm-3,6.600,R,ugm-3 (TEOM FDMS),4.100,R,ugm-3 (TEOM FDMS),55.58025,R,ugm-3,8.000,R,ugm-3 (TEOM FDMS),1.59122,R,ugm-3,3.700,R,ugm-3 (TEOM FDMS),3.900,R,ugm-3 (TEOM FDMS)
01-01-2015,04:00,0.130390,R,mgm-3,5.200,R,ugm-3 (TEOM FDMS),2.41103,R,ugm-3,15.35833,R,ugm-3,19.05519,R,ugm-3,1.600,R,ugm-3 (TEOM FDMS),4.700,R,ugm-3 (TEOM FDMS),53.98369,R,ugm-3,8.300,R,ugm-3 (TEOM FDMS),1.17878,R,ugm-3,3.600,R,ugm-3 (TEOM FDMS),3.600,R,ugm-3 (TEOM FDMS)
01-01-2015,05:00,0.153965,R,mgm-3,7.000,R,ugm-3 (TEOM FDMS),4.85512,R,ugm-3,24.36286,R,ugm-3,31.80727,R,ugm-3,3.600,R,ugm-3 (TEOM FDMS),4.400,R,ugm-3 (TEOM FDMS),44.10497,R,ugm-3,7.800,R,ugm-3 (TEOM FDMS),1.41427,R,ugm-3,3.400,R,ugm-3 (TEOM FDMS),3.400,R,ugm-3 (TEOM FDMS)
01-01-2015,06:00,0.139122,R,mgm-3,4.000,R,ugm-3 (TEOM FDMS),1.27100,R,ugm-3,12.45468,R,ugm-3,14.40352,R,ugm-3,1.600,R,ugm-3 (TEOM FDMS),4.100,R,ugm-3 (TEOM FDMS),56.67788,R,ugm-3,6.400,R,ugm-3 (TEOM FDMS),1.35639,R,ugm-3,2.400,R,ugm-3 (TEOM FDMS),2.300,R,ugm-3 (TEOM FDMS)
01-01-2015,07:00,0.133301,R,mgm-3,7.100,R,ugm-3 (TEOM FDMS),0.87997,R,ugm-3,10.25339,R,ugm-3,11.60266,R,ugm-3,2.100,R,ugm-3 (TEOM FDMS),-1.300,R,ugm-3 (TEOM FDMS),60.32003,R,ugm-3,0.500,R,ugm-3 (TEOM FDMS),1.17878,R,ugm-3,5.000,R,ugm-3 (TEOM FDMS),1.800,R,ugm-3 (TEOM FDMS)
01-01-2015,08:00,0.133301,R,mgm-3,7.000,R,ugm-3 (TEOM FDMS),0.74932,R,ugm-3,9.35404,R,ugm-3,10.50297,R,ugm-3,3.600,R,ugm-3 (TEOM FDMS),3.000,R,ugm-3 (TEOM FDMS),62.81466,R,ugm-3,5.800,R,ugm-3 (TEOM FDMS),1.06037,R,ugm-3,3.400,R,ugm-3 (TEOM FDMS),2.800,R,ugm-3 (TEOM FDMS)
01-01-2015,09:00,0.136211,R,mgm-3,10.600,R,ugm-3 (TEOM FDMS),5.66960,R,ugm-3,35.01692,R,ugm-3,43.71019,R,ugm-3,5.900,R,ugm-3 (TEOM FDMS),6.400,R,ugm-3 (TEOM FDMS),29.98539,R,ugm-3,9.700,R,ugm-3 (TEOM FDMS),1.64976,R,ugm-3,4.700,R,ugm-3 (TEOM FDMS),3.300,R,ugm-3 (TEOM FDMS)
