Data supplied by AEA on 22/1/2016
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Leeds Centre,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"Carbon monoxide",status,unit,"PM<sub>10</sub> particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"Non-volatile PM<sub>10</sub> (Hourly measured)",status,unit,"Non-volatile PM<sub>2.5</sub> (Hourly measured)",status,unit,"Ozone",status,unit,"PM<sub>2.5</sub> particulate matter (Hourly measured)",status,unit,"Sulphur dioxide",status,unit,"Volatile PM<sub>10</sub> (Hourly measured)",status,unit,"Volatile PM<sub>2.5</sub> (Hourly measured)",status,unit
 
01-01-2016,01:00,,,,20.700,P,ugm-3 (TEOM FDMS),4.61501,P,ugm-3,30.79125,P,ugm-3,37.86750,P,ugm-3,22.600,P,ugm-3 (TEOM FDMS),14.600,P,ugm-3 (TEOM FDMS),37.71873,P,ugm-3,15.400,P,ugm-3 (TEOM FDMS),1.06436,P,ugm-3,-1.900,P,ugm-3 (TEOM FDMS),0.800,P,ugm-3 (TEOM FDMS)
01-01-2016,02:00,,,,19.400,P,ugm-3 (TEOM FDMS),4.11609,P,ugm-3,36.91125,P,ugm-3,43.22250,P,ugm-3,19.300,P,ugm-3 (TEOM FDMS),12.400,P,ugm-3 (TEOM FDMS),30.53421,P,ugm-3,13.600,P,ugm-3 (TEOM FDMS),1.59654,P,ugm-3,0.100,P,ugm-3 (TEOM FDMS),1.200,P,ugm-3 (TEOM FDMS)
01-01-2016,03:00,,,,24.600,P,ugm-3 (TEOM FDMS),7.35907,P,ugm-3,39.01500,P,ugm-3,50.29875,P,ugm-3,24.100,P,ugm-3 (TEOM FDMS),15.700,P,ugm-3 (TEOM FDMS),23.94840,P,ugm-3,16.900,P,ugm-3 (TEOM FDMS),1.59654,P,ugm-3,0.500,P,ugm-3 (TEOM FDMS),1.200,P,ugm-3 (TEOM FDMS)
01-01-2016,04:00,,,,26.100,P,ugm-3 (TEOM FDMS),15.59125,P,ugm-3,52.78500,P,ugm-3,76.69125,P,ugm-3,24.400,P,ugm-3 (TEOM FDMS),15.800,P,ugm-3 (TEOM FDMS),11.37549,P,ugm-3,17.800,P,ugm-3 (TEOM FDMS),1.59654,P,ugm-3,1.700,P,ugm-3 (TEOM FDMS),2.000,P,ugm-3 (TEOM FDMS)
01-01-2016,05:00,,,,22.400,P,ugm-3 (TEOM FDMS),18.33531,P,ugm-3,55.08000,P,ugm-3,83.19375,P,ugm-3,23.100,P,ugm-3 (TEOM FDMS),14.100,P,ugm-3 (TEOM FDMS),6.98495,P,ugm-3,15.100,P,ugm-3 (TEOM FDMS),1.33045,P,ugm-3,-0.700,P,ugm-3 (TEOM FDMS),1.000,P,ugm-3 (TEOM FDMS)
01-01-2016,06:00,,,,23.700,P,ugm-3 (TEOM FDMS),45.65118,P,ugm-3,63.49500,P,ugm-3,133.49250,P,ugm-3,21.400,P,ugm-3 (TEOM FDMS),16.800,P,ugm-3 (TEOM FDMS),1.59656,P,ugm-3,18.000,P,ugm-3 (TEOM FDMS),1.33045,P,ugm-3,2.300,P,ugm-3 (TEOM FDMS),1.200,P,ugm-3 (TEOM FDMS)
01-01-2016,07:00,,,,23.800,P,ugm-3 (TEOM FDMS),60.86824,P,ugm-3,64.26000,P,ugm-3,157.59000,P,ugm-3,22.400,P,ugm-3 (TEOM FDMS),14.100,P,ugm-3 (TEOM FDMS),0.99785,P,ugm-3,15.300,P,ugm-3 (TEOM FDMS),1.59654,P,ugm-3,1.400,P,ugm-3 (TEOM FDMS),1.200,P,ugm-3 (TEOM FDMS)
01-01-2016,08:00,0.593742,P,mgm-3,17.000,P,ugm-3 (TEOM FDMS),32.18034,P,ugm-3,57.94875,P,ugm-3,107.29125,P,ugm-3,16.800,P,ugm-3 (TEOM FDMS),10.100,P,ugm-3 (TEOM FDMS),1.99570,P,ugm-3,12.200,P,ugm-3 (TEOM FDMS),1.06436,P,ugm-3,0.200,P,ugm-3 (TEOM FDMS),2.100,P,ugm-3 (TEOM FDMS)
01-01-2016,09:00,0.523890,P,mgm-3,16.200,P,ugm-3 (TEOM FDMS),20.58045,P,ugm-3,53.55000,P,ugm-3,85.10625,P,ugm-3,13.800,P,ugm-3 (TEOM FDMS),7.500,P,ugm-3 (TEOM FDMS),5.18882,P,ugm-3,7.300,P,ugm-3 (TEOM FDMS),1.06436,P,ugm-3,2.400,P,ugm-3 (TEOM FDMS),-0.200,P,ugm-3 (TEOM FDMS)
