Area Codes,Area Names,,All Ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
E01025253,,Preston 004A,"1,821",29,34,25,26,23,39,32,30,32,26,24,22,30,19,26,29,23,27,21,17,18,14,22,15,21,29,20,22,28,21,26,24,28,34,31,30,28,37,24,30,35,32,34,43,33,34,32,36,36,27,35,36,40,26,34,25,25,23,18,17,20,18,14,8,9,14,12,11,7,7,3,7,6,3,2,4,2,4,4,1,1,1,0,0,2,1,0,1,0,0,2
E01025254,,Preston 004B,"1,165",14,6,8,11,8,9,9,11,8,17,15,10,13,18,14,13,17,13,9,9,24,10,13,16,7,10,10,6,11,8,9,11,6,17,13,7,10,8,10,10,16,17,14,19,20,19,20,23,23,21,27,26,29,18,27,12,14,19,15,17,9,14,16,12,5,9,13,20,14,11,6,19,8,11,5,12,10,7,5,14,12,14,4,6,8,6,2,6,8,8,27
E01025255,,Preston 004C,"1,614",16,26,30,25,35,25,32,22,26,22,16,21,21,33,23,21,22,25,25,13,16,26,17,20,17,21,17,14,15,21,16,26,16,26,25,21,16,23,24,24,22,38,28,25,36,34,34,33,27,35,31,19,15,32,21,26,24,23,13,7,14,10,11,25,10,11,17,12,14,8,5,7,2,3,5,5,5,4,4,4,6,2,4,7,2,2,1,4,2,2,3
E01025300,,Preston 004D,"1,097",5,4,6,7,0,4,9,4,4,5,13,5,4,7,6,8,4,7,5,6,8,18,19,19,19,10,9,9,7,9,8,15,7,9,8,12,9,9,12,13,10,11,15,10,12,10,16,16,14,17,12,20,21,21,13,18,16,12,11,13,12,15,19,10,18,12,16,21,10,9,10,14,18,11,8,9,15,18,18,14,12,11,17,16,25,10,10,7,14,8,60
E01025303,,Preston 004E,"1,305",17,7,18,18,14,18,15,20,10,16,15,7,13,9,8,15,8,13,11,13,11,21,16,20,13,18,21,16,16,19,15,22,16,11,26,15,10,14,14,16,21,19,24,17,25,16,24,21,14,30,12,22,28,30,20,21,21,14,23,18,8,19,10,20,20,15,18,16,15,15,9,16,8,11,6,6,9,5,7,3,7,7,7,5,2,5,1,3,7,4,6
E01025260,,Preston 005A,"1,510",19,27,26,23,21,27,20,12,21,25,16,13,14,16,10,17,12,16,13,14,13,16,22,21,20,34,24,30,21,32,23,23,24,26,28,23,13,10,18,23,15,24,22,27,15,16,19,25,17,20,18,28,19,17,15,18,15,14,18,10,11,13,10,18,13,20,15,14,8,11,6,14,12,16,10,17,15,13,11,11,6,5,3,9,1,6,8,6,1,3,26
E01025262,,Preston 005B,"1,508",14,13,19,11,14,21,22,22,16,14,13,15,12,14,19,15,10,9,11,17,10,21,17,15,21,15,24,26,18,8,22,15,21,12,14,16,8,20,17,12,19,23,21,23,18,19,21,17,27,18,20,27,20,25,22,25,19,27,16,18,19,28,24,27,23,18,25,26,18,19,15,17,10,19,15,24,8,17,8,10,11,9,13,7,10,4,8,5,2,1,10
E01025263,,Preston 005C,"1,578",22,27,20,35,20,31,28,21,21,30,13,17,18,15,9,15,13,19,15,10,24,19,25,17,30,30,32,22,33,24,32,28,16,31,20,19,19,17,19,11,16,13,31,13,12,14,11,13,13,14,11,15,32,16,24,18,22,18,18,13,13,13,15,19,15,10,22,20,10,15,15,13,11,19,10,5,8,10,5,9,10,7,7,7,8,8,5,4,13,17,31
E01025264,,Preston 005D,"1,466",25,22,25,23,27,23,18,22,12,18,21,13,19,13,16,11,17,22,18,16,20,21,16,20,26,19,32,18,23,25,15,20,12,23,24,18,23,13,21,11,11,15,16,14,19,26,17,17,23,26,23,21,18,16,19,20,16,17,18,17,20,17,31,19,19,26,15,24,18,16,10,9,10,5,9,11,9,9,10,3,3,3,4,1,2,1,2,4,1,0,5
E01025239,,Preston 006A,"1,405",17,13,14,10,14,9,15,16,23,10,13,8,12,13,10,14,19,11,14,9,9,13,10,16,12,14,20,11,18,17,9,12,17,18,20,17,9,9,11,18,14,19,21,21,21,19,21,17,20,21,23,25,20,25,15,15,9,23,19,14,23,14,14,21,20,21,18,15,21,18,21,17,17,19,18,13,17,19,23,18,8,22,21,10,10,4,5,8,4,6,14
E01025241,,Preston 006B,"1,604",18,13,18,20,17,17,26,26,14,28,21,14,15,19,14,22,11,21,21,24,14,16,18,23,19,12,15,15,13,14,10,14,16,16,20,16,27,20,18,15,21,16,27,14,23,26,22,22,29,22,20,30,24,31,30,19,26,19,23,20,17,17,19,14,25,15,18,20,17,11,14,19,12,14,16,9,13,10,14,16,16,15,11,7,12,10,12,10,6,4,17
E01025242,,Preston 006C,"1,621",12,18,18,10,16,16,23,27,28,28,22,18,7,20,18,13,11,12,19,10,10,10,18,11,13,18,17,11,14,17,23,16,21,16,15,8,13,13,22,14,18,21,20,21,23,20,27,27,20,11,18,23,19,19,13,18,28,26,19,21,17,17,16,26,25,25,26,33,25,29,23,20,25,13,25,16,21,15,18,16,18,14,12,15,12,14,14,6,4,7,16
E01025243,,Preston 006D,"1,973",19,12,20,22,16,26,24,21,19,15,28,17,27,20,25,34,38,30,29,20,26,42,37,40,27,33,21,24,16,21,24,24,28,28,26,28,17,26,20,28,32,32,26,30,28,29,37,37,31,30,25,27,30,35,29,18,17,24,20,17,28,21,21,28,31,22,18,25,16,17,12,11,13,8,16,15,9,13,9,11,7,6,12,15,11,8,4,2,2,3,7
E01025251,,Preston 006E,"1,472",22,19,15,15,27,22,22,22,24,15,17,23,11,24,21,25,17,24,9,21,32,35,28,30,32,19,25,17,10,17,12,13,15,11,12,14,20,11,8,18,22,15,15,14,26,14,17,24,21,16,22,13,16,23,19,21,14,23,17,13,11,17,12,23,12,15,16,9,11,8,15,14,8,11,8,9,13,9,10,12,9,12,9,6,11,8,6,6,6,3,14
E01025234,,Preston 007A,"1,499",23,19,23,24,26,27,20,16,20,20,19,18,20,28,13,22,17,17,14,22,16,14,13,14,11,20,20,25,23,17,30,13,15,24,22,22,13,17,17,16,24,28,17,23,19,32,19,29,24,25,23,16,20,19,22,18,27,19,17,21,18,19,13,10,9,21,7,19,14,9,9,9,12,10,6,8,15,8,5,6,7,4,7,4,6,8,3,3,4,1,13
E01025235,,Preston 007B,"1,677",21,23,25,13,29,25,22,22,19,15,10,8,16,8,18,22,26,22,19,17,19,22,14,16,24,18,23,27,13,12,19,17,17,20,16,12,14,17,17,15,17,30,17,27,32,17,27,21,18,20,27,24,28,25,25,20,21,20,26,19,13,20,15,16,18,16,19,23,14,19,27,16,20,21,21,25,24,18,15,21,12,24,13,12,7,8,2,4,6,5,10
E01025237,,Preston 007C,"1,495",25,20,18,17,20,15,19,33,19,17,26,19,13,27,14,14,11,21,13,20,27,20,24,18,16,29,19,15,21,18,22,13,10,13,15,11,22,10,15,13,20,18,18,22,21,16,19,20,20,27,19,34,23,18,24,21,19,17,16,17,17,24,15,21,19,26,18,14,11,12,13,12,8,8,11,11,8,8,7,11,7,10,4,7,5,6,7,7,6,4,17
E01025238,,Preston 007D,"1,645",43,40,30,36,35,36,34,29,35,26,31,14,27,21,23,11,17,26,20,16,20,23,19,20,14,31,35,29,35,27,36,35,33,17,19,23,20,13,20,18,15,18,20,19,14,28,18,26,26,13,22,19,16,13,14,18,13,13,19,12,18,14,12,17,13,8,14,13,14,6,8,6,6,7,5,2,10,6,10,6,2,5,5,5,7,5,7,3,3,4,11
E01025245,,Preston 007E,"2,657",48,40,40,49,43,45,49,50,75,46,39,39,48,46,44,38,42,51,41,42,40,27,40,51,30,44,42,43,42,45,36,33,45,33,36,36,35,30,36,31,35,33,38,28,37,35,32,27,34,38,25,32,33,33,28,20,25,22,37,21,25,25,18,26,27,17,21,20,16,19,7,9,17,7,15,12,6,10,7,6,6,11,4,5,6,0,4,4,7,5,12
E01025252,,Preston 007F,"1,429",15,13,17,13,21,14,14,12,17,7,22,12,18,17,18,10,13,12,10,15,18,26,22,20,36,32,20,21,17,22,20,24,17,12,23,16,11,17,19,20,21,17,13,16,19,16,18,18,14,20,17,17,22,23,23,19,18,16,22,16,16,14,12,14,16,18,9,15,7,10,14,13,12,12,16,19,20,14,17,12,10,13,6,9,6,4,12,5,3,6,7
E01025233,,Preston 008A,"1,387",15,7,14,11,23,17,21,19,21,24,13,13,16,14,14,16,21,29,12,18,16,20,24,32,16,16,20,18,17,13,12,3,8,13,12,14,13,8,15,14,20,14,13,22,31,32,28,20,21,22,27,20,34,24,21,21,19,26,15,12,14,11,13,15,10,13,8,14,6,10,9,10,8,7,9,9,11,10,12,5,18,12,16,5,9,5,5,2,5,1,21
E01025240,,Preston 008B,"1,589",18,18,17,19,21,15,8,13,16,21,11,10,17,11,13,12,18,15,17,15,23,25,22,17,20,25,21,19,16,17,17,13,15,14,17,12,11,11,12,17,12,16,14,20,20,30,25,33,28,31,29,33,22,23,15,18,18,19,22,12,19,21,18,12,20,23,30,23,27,13,34,24,15,9,21,12,21,11,9,17,15,11,13,12,10,10,11,6,7,4,22
E01025261,,Preston 008C,"1,393",13,12,12,8,14,16,10,11,15,17,10,11,10,12,10,16,15,16,16,9,15,12,17,22,17,19,24,14,10,18,16,13,11,13,14,13,17,16,16,13,7,13,22,17,18,20,15,23,21,15,23,23,20,15,19,13,26,14,14,15,25,19,17,17,31,14,17,19,26,15,20,16,18,20,20,10,22,15,13,12,11,14,13,16,7,7,9,4,4,6,20
E01025266,,Preston 008D,"1,242",10,12,10,5,14,8,7,8,7,14,11,14,15,12,20,11,15,23,17,10,18,22,16,21,13,15,18,14,15,16,12,14,9,8,10,13,8,4,7,8,6,16,11,16,22,18,20,14,16,17,19,37,22,21,19,23,22,9,18,22,10,7,18,15,9,20,15,17,20,12,14,20,14,8,18,14,15,15,13,9,7,3,7,16,12,7,8,5,3,1,18
E01025309,,Preston 008E,"1,186",8,11,18,15,17,29,22,17,17,13,11,7,15,12,16,13,10,8,9,13,11,16,22,9,18,19,16,16,16,12,15,10,11,13,20,17,10,19,14,14,15,19,19,22,18,15,16,12,17,19,9,13,22,20,16,8,9,21,14,8,14,13,13,7,9,19,21,14,9,16,6,9,15,8,9,8,10,14,7,6,16,8,4,5,1,4,3,3,6,5,13
E01025236,,Preston 009A,"1,501",36,44,42,38,42,36,27,28,20,28,21,17,18,18,12,18,12,15,9,13,25,28,29,22,24,37,23,25,29,18,27,15,18,20,25,26,16,12,18,22,14,19,15,22,19,25,21,17,24,14,12,13,9,12,18,10,19,19,15,19,15,14,16,16,12,11,12,12,5,6,6,6,6,6,4,2,7,9,5,11,1,8,3,3,3,2,2,1,3,1,4
E01025283,,Preston 009B,"1,729",36,37,31,48,24,30,49,38,42,32,30,39,29,36,29,25,20,18,15,18,28,21,26,20,24,33,30,31,27,31,26,31,29,28,29,18,14,11,17,18,20,23,15,23,24,29,30,18,16,25,21,20,12,21,11,26,18,12,17,9,13,13,14,11,9,8,20,15,4,10,8,8,7,9,8,8,12,1,8,4,4,4,2,5,3,0,2,1,5,3,2
E01025284,,Preston 009C,"1,791",15,22,20,14,22,28,40,24,33,23,24,19,29,35,27,20,21,26,19,27,26,16,19,20,24,21,23,23,28,30,20,26,20,15,16,17,15,20,21,22,23,22,23,28,28,25,31,21,22,23,24,22,20,25,23,28,26,25,11,20,14,18,24,20,29,21,22,21,14,11,14,14,9,8,12,13,10,15,11,11,13,16,5,8,9,6,3,9,9,7,15
E01025285,,Preston 009D,"1,427",17,26,18,21,20,20,27,21,12,22,22,25,20,28,29,19,23,12,21,31,29,38,34,16,17,16,17,13,13,13,16,13,17,17,13,15,14,14,14,16,23,21,22,17,25,22,21,16,21,14,28,26,27,21,12,15,15,20,13,12,13,13,9,13,9,16,10,14,11,9,9,12,6,8,9,7,7,8,9,5,9,1,4,7,2,6,2,2,4,6,7
E01025286,,Preston 009E,"1,832",38,38,35,43,40,42,38,50,27,34,32,28,34,29,21,26,26,23,18,23,28,25,23,24,26,41,22,26,22,25,40,24,30,28,25,24,17,20,15,22,14,19,22,22,27,29,31,24,25,23,22,29,26,19,19,16,12,14,22,21,21,20,14,14,18,11,13,11,11,14,11,10,7,2,7,7,7,8,9,7,3,0,4,4,1,3,0,2,0,3,2
E01025287,,Preston 009F,"1,929",26,31,28,36,27,29,31,25,18,22,26,23,19,15,21,20,29,28,25,29,25,23,26,29,26,34,41,42,28,37,30,35,16,38,35,41,28,20,27,27,18,37,29,30,34,28,25,22,24,29,28,25,18,19,19,16,24,13,20,23,23,24,12,22,16,16,14,23,8,13,10,10,8,4,10,15,12,9,8,9,5,6,8,5,8,8,4,3,7,4,8
