Area Codes,Area Names,,All Ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
E01025271,,Preston 013G,"1,614",22,22,19,21,37,27,21,21,22,19,25,22,15,21,19,17,15,24,22,30,15,17,19,21,18,22,19,15,23,21,19,15,15,15,22,24,10,19,17,18,32,24,24,17,17,17,24,17,9,20,21,31,29,21,15,14,13,21,18,20,26,19,12,19,19,18,23,24,22,13,15,21,11,9,5,11,12,11,9,11,10,10,8,11,12,7,5,6,8,3,15
E01025295,,Preston 014A,"2,620",36,29,33,27,26,17,24,23,21,24,20,10,20,12,17,16,13,14,13,20,48,74,85,75,82,67,66,53,71,67,54,57,58,48,53,46,33,31,32,38,52,48,50,41,43,43,38,38,29,30,26,20,30,32,26,17,22,27,19,26,16,11,19,22,18,20,22,16,15,12,16,17,21,12,17,14,12,14,18,13,9,10,10,2,11,6,8,4,9,2,14
E01025296,,Preston 014B,"2,046",46,60,46,50,45,43,43,45,32,35,37,33,27,32,16,27,28,24,28,25,28,28,28,32,36,33,33,41,29,38,40,39,28,26,42,27,26,34,16,28,34,24,31,20,25,26,24,25,22,26,27,19,26,21,30,19,18,23,20,14,13,23,15,14,10,14,10,7,5,6,11,8,2,8,5,6,5,2,9,5,7,4,4,0,5,3,5,1,3,2,6
E01025297,,Preston 014C,"1,961",45,52,36,45,43,47,38,33,35,25,28,25,20,19,23,28,18,29,20,21,35,28,38,22,22,54,49,35,44,41,45,27,35,32,26,31,20,28,19,29,27,29,22,30,29,27,27,18,16,16,28,23,27,15,24,17,24,20,11,14,14,14,15,11,6,16,17,17,8,13,5,4,9,6,7,7,4,4,5,6,6,7,4,7,5,3,0,0,0,1,6
E01025298,,Preston 014D,"1,644",40,47,34,35,30,31,28,29,31,28,31,28,16,20,19,24,20,21,32,22,21,30,20,33,34,34,45,31,36,30,42,24,20,30,32,25,20,28,29,23,23,20,28,23,14,15,12,9,12,15,5,14,21,12,22,14,10,15,11,14,8,12,15,10,13,9,8,4,4,5,6,8,4,8,5,1,10,7,2,3,9,3,6,6,3,5,2,0,1,2,3
E01025244,,Preston 015A,"1,709",38,37,39,36,42,27,18,26,27,32,24,32,37,27,33,35,37,32,15,14,44,39,25,32,31,34,26,24,29,32,27,24,20,21,22,37,30,24,30,25,25,28,21,18,19,24,23,13,15,19,17,21,19,9,13,13,12,13,20,14,13,14,11,10,14,6,13,7,5,2,2,5,4,5,6,7,6,6,10,4,4,0,3,2,1,2,0,1,4,1,1
E01025292,,Preston 015B,"2,853",21,12,13,23,10,15,13,8,12,9,7,7,5,6,8,32,49,47,233,632,263,213,171,121,83,28,36,29,38,37,35,36,17,18,19,27,15,17,12,12,22,9,18,21,19,14,20,15,18,16,20,15,16,12,18,15,7,16,16,10,6,7,6,5,7,6,10,5,9,9,6,5,4,6,3,4,4,4,5,2,13,7,1,1,3,0,5,0,2,0,2
E01025293,,Preston 015C,"2,064",30,25,27,29,23,25,18,20,23,18,19,29,21,31,26,43,31,42,22,16,62,70,50,52,46,25,36,29,27,31,37,39,36,33,31,22,27,25,24,18,37,34,24,32,15,22,34,31,31,22,25,22,26,22,18,14,27,22,15,20,14,21,22,20,15,19,15,17,14,12,13,17,6,15,13,10,12,8,6,6,7,2,5,9,7,6,4,3,3,3,9
E01025247,,Preston 016A,"1,719",42,35,42,43,35,29,29,31,22,24,32,20,16,16,18,26,21,24,21,21,25,34,29,29,33,39,42,41,31,35,40,38,41,45,39,20,22,18,27,18,21,18,24,18,19,15,19,13,23,22,15,11,13,14,17,20,9,13,13,8,13,15,13,11,10,6,8,12,5,4,11,6,10,7,13,4,4,5,1,5,7,1,5,3,5,3,2,2,0,2,8
E01025248,,Preston 016B,"1,297",25,28,33,28,29,24,25,28,26,16,28,24,19,24,15,16,19,15,17,11,20,17,17,19,18,27,23,15,28,16,21,23,20,14,30,20,23,13,15,19,17,17,16,7,17,16,20,14,12,10,16,12,16,16,10,8,13,8,14,10,10,9,12,11,16,7,10,13,9,5,6,9,7,7,7,4,3,3,5,7,4,2,3,0,1,4,1,0,3,0,2
E01025249,,Preston 016C,999,11,7,13,12,10,10,11,5,14,8,15,11,9,10,9,7,12,9,8,11,10,23,10,8,14,12,9,8,8,10,8,8,7,13,9,6,10,10,15,13,12,16,22,12,19,14,12,12,12,16,15,17,13,14,16,14,18,16,18,19,10,9,5,17,11,9,10,10,9,12,9,13,11,13,9,15,6,11,10,6,7,5,6,4,9,9,6,2,3,0,23
E01025250,,Preston 016D,"1,695",32,37,34,34,24,43,29,38,29,28,28,24,33,24,25,24,25,32,33,27,20,30,25,32,21,28,23,25,25,21,19,22,20,33,25,33,30,24,30,26,20,34,20,24,29,13,18,13,27,21,25,26,15,17,20,13,9,15,14,13,19,11,22,9,8,6,7,12,6,8,8,7,6,6,4,4,5,3,4,8,6,4,6,5,2,1,0,2,2,0,3
E01025304,,Preston 016E,"1,864",31,25,25,36,31,31,29,41,37,25,32,36,30,29,35,32,23,22,17,28,22,29,24,22,20,30,29,22,30,22,19,33,28,31,24,30,27,26,28,25,23,23,23,31,27,30,31,16,18,26,18,21,23,19,24,19,12,16,17,12,16,17,10,14,13,16,12,15,15,8,15,15,8,15,11,13,8,7,5,8,9,7,8,9,10,12,4,3,5,0,11
E01025305,,Preston 016F,"1,648",32,31,26,26,29,24,16,21,27,15,21,25,24,21,18,22,11,20,19,17,31,27,20,24,21,40,28,36,32,27,24,19,23,31,24,36,31,25,20,26,16,23,24,17,25,19,16,17,19,15,23,18,22,20,25,18,16,20,19,21,22,20,13,10,10,18,14,13,15,8,9,6,8,14,10,8,7,11,9,3,8,6,3,1,4,2,3,4,1,2,3
E01025289,,Preston 017A,"1,631",25,15,9,15,15,21,17,16,13,15,11,10,7,9,18,19,20,14,5,8,62,79,83,65,66,35,29,30,27,38,42,49,24,34,32,27,16,28,16,17,16,21,17,7,17,13,22,14,12,15,25,18,15,21,30,23,24,23,11,19,20,8,7,12,11,11,9,10,4,7,6,4,5,6,5,7,6,6,6,3,1,10,4,2,4,4,1,3,0,0,5
E01025290,,Preston 017B,"1,562",20,14,15,9,10,11,8,10,16,11,10,8,7,14,10,17,18,16,11,12,67,73,78,71,55,32,37,27,28,34,27,37,40,32,29,26,15,25,23,24,28,31,22,23,21,26,22,17,12,25,23,16,17,20,12,18,14,17,16,9,12,17,15,6,3,1,6,2,3,3,7,5,7,4,5,4,7,3,1,4,3,6,4,2,1,6,0,1,2,3,3
E01025291,,Preston 017C,"1,254",20,22,14,18,17,14,21,16,15,15,10,5,12,10,18,12,13,10,10,5,21,18,18,26,20,25,29,21,24,21,22,21,22,27,25,17,14,11,13,11,15,16,17,14,13,21,19,24,17,15,17,12,16,16,10,16,20,16,11,9,18,16,14,11,18,15,11,15,9,2,4,8,12,8,11,6,5,5,11,8,5,7,3,5,8,4,4,4,2,3,5
E01025306,,Preston 017D,"1,789",13,9,13,11,11,17,12,12,15,14,13,9,12,12,17,14,20,18,9,7,54,76,87,104,96,55,44,40,41,40,47,43,42,29,30,33,35,29,28,22,21,22,20,20,14,15,22,25,26,19,25,15,18,13,15,12,12,13,11,14,12,14,9,6,7,7,12,11,8,6,10,13,11,2,9,7,3,5,4,8,3,7,2,4,0,2,7,4,5,2,4
E01033223,,Preston 017F,"1,611",4,4,7,3,4,0,1,1,1,0,2,6,3,5,1,19,19,19,69,159,151,162,154,110,93,33,32,23,31,26,19,27,27,17,24,10,8,6,5,5,11,5,14,14,9,10,17,10,12,13,13,12,12,10,9,7,8,11,15,4,5,0,3,5,7,8,5,0,2,7,5,4,6,8,3,6,3,0,6,2,3,1,4,1,2,1,3,1,0,0,4
E01033224,,Preston 017G,"1,064",20,14,8,12,13,14,14,10,11,10,6,8,9,3,7,11,10,10,7,6,22,29,31,34,20,28,28,19,20,27,29,20,26,15,13,27,22,16,14,16,21,20,14,13,11,15,8,9,19,17,14,7,9,5,9,13,14,9,11,17,8,12,12,4,9,9,6,4,7,5,6,7,5,5,7,5,2,3,4,5,4,3,4,4,2,1,2,2,1,0,2
E01033226,,Preston 017H,"1,185",21,18,13,16,15,14,12,14,9,10,12,16,13,11,10,15,14,13,9,5,17,24,24,20,24,16,20,11,23,17,30,22,25,23,28,22,16,18,18,15,17,15,14,16,14,24,19,16,20,19,10,13,15,13,15,11,15,15,17,16,11,20,14,19,7,11,13,13,4,7,7,5,6,3,2,7,6,7,6,6,2,2,2,2,7,2,1,1,0,1,4
